time_s,reference_1,reference_2,reference_3,position_x_m,position_y_m,position_z_m,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,motor_command_1,motor_command_2,motor_command_3,motor_command_4,rotor_speed_1_radps,rotor_speed_2_radps,rotor_speed_3_radps,rotor_speed_4_radps,event_code,external_torque_body_x_nm,external_torque_body_y_nm,external_torque_body_z_nm
24.2,0.0,0.0,1.5,-5.75480888321598e-06,7.090006791709518e-10,1.5000000026506977,4.800064176368108e-11,5.50945038451149e-08,-1.1263435164131129e-07,14.144641107393891,-14.144641905309284,14.144641137934858,-14.144641932669202,14.144641106019078,-14.144641907461198,14.1446411329634,-14.144641934074274,0.0,0.0,0.0,0.0
24.21,0.0,0.0,1.5,-5.696372880531461e-06,7.126190445721867e-10,1.5000000026350648,4.874041427326829e-11,4.93938419769092e-08,-1.1267843463936361e-07,14.144641107310886,-14.144641905518396,14.144641137765216,-14.144641932830774,14.144641105947002,-14.144641907657103,14.144641132834584,-14.144641934224625,0.0,0.0,0.0,0.0
24.22,0.0,0.0,1.5,-5.637936877846963e-06,7.162374099734206e-10,1.5000000026194322,4.9480186531552986e-11,4.369318010870551e-08,-1.1272251763741175e-07,14.144641107227786,-14.144641905727411,14.14464113759548,-14.144641932992252,14.144641105874928,-14.14464190785301,14.144641132705772,-14.144641934374974,0.0,0.0,0.0,0.0
24.23,0.0,0.0,1.5,-5.579500875162444e-06,7.198557753746556e-10,1.5000000026037996,5.021995853853567e-11,3.7992518240499746e-08,-1.1276660063545566e-07,14.14464110714469,-14.144641905936435,14.144641137425747,-14.144641933153736,14.144641105802853,-14.144641908048918,14.14464113257696,-14.144641934525325,0.0,0.0,0.0,0.0
24.24,0.0,0.0,1.5,-5.521064872477925e-06,7.234741407758906e-10,1.500000002588167,5.0959730294216095e-11,3.2291856372293945e-08,-1.1281068363349528e-07,14.14464110706159,-14.144641906145456,14.144641137256016,-14.144641933315215,14.144641105730775,-14.144641908244823,14.144641132448143,-14.144641934675674,0.0,0.0,0.0,0.0
24.25,0.0,0.0,1.5,-5.462628869793426e-06,7.270925061771242e-10,1.5000000025725342,5.169950179859401e-11,2.6591194504090147e-08,-1.1285476663153077e-07,14.14464110697858,-14.144641906354568,14.144641137086372,-14.144641933476786,14.1446411056587,-14.14464190844073,14.144641132319332,-14.144641934826025,0.0,0.0,0.0,0.0
24.26,0.0,0.0,1.5,-5.404192867108908e-06,7.307108715783594e-10,1.5000000025569016,5.2439273051669885e-11,2.0890532635884284e-08,-1.1289884962956201e-07,14.14464110689548,-14.144641906563589,14.144641136916638,-14.144641933638264,14.144641105586626,-14.144641908636638,14.144641132190518,-14.144641934976374,0.0,0.0,0.0,0.0
24.27,0.0,0.0,1.5,-5.345756864424409e-06,7.34329236979593e-10,1.500000002541269,5.3179044053443255e-11,1.5189870767680426e-08,-1.1294293262758898e-07,14.144641106812385,-14.144641906772607,14.144641136746904,-14.144641933799749,14.14464110551455,-14.144641908832543,14.144641132061706,-14.144641935126725,0.0,0.0,0.0,0.0
24.28,0.0,0.0,1.5,-5.2873208617398896e-06,7.37947602380828e-10,1.500000002525636,5.391881480391463e-11,9.489208899474466e-09,-1.1298701562561188e-07,14.144641106729376,-14.144641906981722,14.144641136577263,-14.14464193396132,14.144641105442474,-14.14464190902845,14.144641131932891,-14.144641935277074,0.0,0.0,0.0,0.0
24.29,0.0,0.0,1.5,-5.228884859055392e-06,7.415659677820618e-10,1.5000000025100035,5.465858530308343e-11,3.78854703127047e-09,-1.1303109862363053e-07,14.144641106646276,-14.14464190719074,14.144641136407529,-14.144641934122795,14.1446411053704,-14.144641909224358,14.14464113180408,-14.144641935427424,0.0,0.0,0.0,0.0
24.3,0.0,0.0,1.5,-5.170448856370872e-06,7.451843331832968e-10,1.500000002494371,5.5398355550950295e-11,-1.9121148369354852e-09,-1.1307518162164483e-07,14.14464110656318,-14.144641907399764,14.144641136237796,-14.14464193428428,14.144641105298325,-14.144641909420264,14.144641131675266,-14.144641935577775,0.0,0.0,0.0,0.0
24.31,0.0,0.0,1.5,-5.112012853686354e-06,7.48802698584532e-10,1.5000000024787383,5.613812554751487e-11,-7.612776705141502e-09,-1.1311926461965505e-07,14.14464110648008,-14.144641907608785,14.144641136068062,-14.14464193444576,14.144641105226247,-14.14464190961617,14.144641131546454,-14.144641935728124,0.0,0.0,0.0,0.0
24.32,0.0,0.0,1.5,-5.053576851001855e-06,7.524210639857656e-10,1.5000000024631055,5.687789529277689e-11,-1.3313438573345538e-08,-1.1316334761766093e-07,14.14464110639707,-14.144641907817894,14.144641135898418,-14.14464193460733,14.144641105154172,-14.144641909812076,14.14464113141764,-14.144641935878475,0.0,0.0,0.0,0.0
24.33,0.0,0.0,1.5,-4.995140848317336e-06,7.560394293870007e-10,1.500000002447473,5.761766478673693e-11,-1.901410044155162e-08,-1.132074306156627e-07,14.144641106313973,-14.144641908026914,14.144641135728683,-14.14464193476881,14.144641105082098,-14.144641910007984,14.144641131288829,-14.144641936028824,0.0,0.0,0.0,0.0
24.34,0.0,0.0,1.5,-4.936704845632838e-06,7.596577947882345e-10,1.5000000024318405,5.835743402939443e-11,-2.4714762309755724e-08,-1.132515136136602e-07,14.144641106230871,-14.144641908235936,14.144641135558953,-14.14464193493029,14.144641105010022,-14.144641910203893,14.144641131160014,-14.144641936179177,0.0,0.0,0.0,0.0
24.35,0.0,0.0,1.5,-4.878268842948319e-06,7.632761601894696e-10,1.5000000024162077,5.909720302074992e-11,-3.04154241779619e-08,-1.1329559661165353e-07,14.144641106147866,-14.144641908445047,14.14464113538931,-14.144641935091862,14.144641104937946,-14.144641910399796,14.1446411310312,-14.144641936329524,0.0,0.0,0.0,0.0
24.36,0.0,0.0,1.5,-4.819832840263821e-06,7.668945255907031e-10,1.5000000024005749,5.983697176080292e-11,-3.611608604616604e-08,-1.1333967960964257e-07,14.144641106064764,-14.144641908654068,14.144641135219574,-14.14464193525334,14.14464110486587,-14.144641910595704,14.144641130902388,-14.144641936479877,0.0,0.0,0.0,0.0
24.37,0.0,0.0,1.5,-4.761396837579302e-06,7.705128909919384e-10,1.5000000023849422,6.057674024955391e-11,-4.181674791437218e-08,-1.1338376260762737e-07,14.144641105981668,-14.144641908863091,14.144641135049843,-14.144641935414825,14.144641104793797,-14.144641910791613,14.144641130773572,-14.144641936630224,0.0,0.0,0.0,0.0
24.38,0.0,0.0,1.5,-4.702960834894804e-06,7.74131256393172e-10,1.5000000023693096,6.131650848700233e-11,-4.7517409782576495e-08,-1.1342784560560809e-07,14.144641105898568,-14.144641909072112,14.144641134880109,-14.144641935576304,14.14464110472172,-14.144641910987517,14.14464113064476,-14.144641936780577,0.0,0.0,0.0,0.0
24.39,0.0,0.0,1.5,-4.644524832210284e-06,7.77749621794407e-10,1.5000000023536768,6.205627647314877e-11,-5.321807165078279e-08,-1.1347192860358455e-07,14.14464110581556,-14.144641909281225,14.144641134710469,-14.144641935737871,14.144641104649644,-14.144641911183424,14.144641130515948,-14.144641936930924,0.0,0.0,0.0,0.0
24.4,0.0,0.0,1.5,-4.586088829525765e-06,7.81367987195642e-10,1.5000000023380442,6.279604420799301e-11,-5.8918733518989055e-08,-1.1351601160155673e-07,14.14464110573246,-14.144641909490243,14.144641134540732,-14.144641935899353,14.14464110457757,-14.14464191137933,14.144641130387134,-14.144641937081277,0.0,0.0,0.0,0.0
24.41,0.0,0.0,1.5,-4.527652826841267e-06,7.849863525968758e-10,1.5000000023224116,6.353581169153464e-11,-6.461939538719346e-08,-1.1356009459952477e-07,14.14464110564936,-14.144641909699263,14.144641134371,-14.144641936060832,14.144641104505494,-14.144641911575237,14.14464113025832,-14.144641937231626,0.0,0.0,0.0,0.0
24.42,0.0,0.0,1.5,-4.469216824156748e-06,7.886047179981108e-10,1.5000000023067788,6.427557892377428e-11,-7.032005725539981e-08,-1.1360417759748855e-07,14.144641105566352,-14.144641909908378,14.14464113420136,-14.144641936222405,14.144641104433418,-14.144641911771144,14.144641130129507,-14.144641937381977,0.0,0.0,0.0,0.0
24.43,0.0,0.0,1.5,-4.41078082147225e-06,7.922230833993446e-10,1.5000000022911462,6.501534590471139e-11,-7.602071912360425e-08,-1.136482605954481e-07,14.14464110548325,-14.144641910117397,14.144641134031623,-14.144641936383882,14.144641104361344,-14.14464191196705,14.144641130000696,-14.144641937532326,0.0,0.0,0.0,0.0
24.44,0.0,0.0,1.5,-4.352344818787731e-06,7.958414488005796e-10,1.5000000022755136,6.575511263434653e-11,-8.172138099181067e-08,-1.1369234359340347e-07,14.144641105400154,-14.14464191032642,14.144641133861892,-14.144641936545366,14.144641104289269,-14.144641912162957,14.144641129871882,-14.144641937682676,0.0,0.0,0.0,0.0
24.45,0.0,0.0,1.5,-4.293908816103232e-06,7.994598142018135e-10,1.500000002259881,6.649487911267911e-11,-8.742204286001512e-08,-1.137364265913546e-07,14.144641105317056,-14.14464191053544,14.14464113369216,-14.144641936706844,14.144641104217191,-14.144641912358862,14.144641129743068,-14.144641937833024,0.0,0.0,0.0,0.0
24.46,0.0,0.0,1.5,-4.235472813418714e-06,8.030781796030485e-10,1.500000002244248,6.723464533970972e-11,-9.31227047282217e-08,-1.1378050958930149e-07,14.144641105234044,-14.14464191074455,14.144641133522514,-14.144641936868412,14.144641104145116,-14.14464191255477,14.144641129614255,-14.144641937983376,0.0,0.0,0.0,0.0
24.47,0.0,0.0,1.5,-4.177036810734215e-06,8.066965450042821e-10,1.5000000022286155,6.797441131543777e-11,-9.88233665964262e-08,-1.1382459258724425e-07,14.144641105150946,-14.144641910953572,14.14464113335278,-14.144641937029894,14.144641104073042,-14.144641912750677,14.144641129485445,-14.144641938133724,0.0,0.0,0.0,0.0
24.48,0.0,0.0,1.5,-4.1186008080496965e-06,8.103149104055173e-10,1.500000002212983,6.871417703986385e-11,-1.0452402846463279e-07,-1.138686755851827e-07,14.144641105067846,-14.144641911162596,14.14464113318305,-14.144641937191372,14.144641104000966,-14.144641912946582,14.144641129356629,-14.144641938284074,0.0,0.0,0.0,0.0
24.49,0.0,0.0,1.5,-4.060164805365178e-06,8.139332758067523e-10,1.5000000021973503,6.945394251298763e-11,-1.102246903328394e-07,-1.13912758583117e-07,14.144641104984748,-14.144641911371618,14.144641133013318,-14.144641937352857,14.14464110392889,-14.14464191314249,14.144641129227816,-14.144641938434424,0.0,0.0,0.0,0.0
24.5,0.0,0.0,1.5,-4.001728802680679e-06,8.17551641207986e-10,1.5000000021817177,7.019370773480891e-11,-1.15925352201044e-07,-1.1395684158104702e-07,14.144641104901735,-14.144641911580727,14.144641132843674,-14.144641937514423,14.144641103856816,-14.144641913338395,14.144641129099004,-14.144641938584776,0.0,0.0,0.0,0.0
24.51,0.0,0.0,1.5,-3.94329279999616e-06,8.21170006609221e-10,1.5000000021660849,7.093347270532819e-11,-1.216260140692507e-07,-1.1400092457897293e-07,14.14464110481864,-14.144641911789751,14.144641132673945,-14.144641937675903,14.14464110378474,-14.144641913534302,14.14464112897019,-14.144641938735123,0.0,0.0,0.0,0.0
