case_id,supervisor,formal_algorithm,formation_rmse_m,three_uav_global_position_rmse_m,minimum_pairwise_distance_m,risk_exposure_below_0_60_m_s,source_reference,source_sha256
Scene07B,PP-CBF trajectory supervisor,ARDG-RGPC,0.3255670820449832,0.02871363539971604,0.8529542348046603,0,06_supplementary_evidence/ardg_rgpc_formation_final/raw/Scene07B.csv,6AE3A2EE275338294D18FD6A61EA332AD35F1476F174564AC90B9EC7779691CD
Scene07COff,nominal supervisor (PP-CBF off),ARDG-RGPC,0.6699968632032487,0.06723805344242664,0.38317574815003735,2.039999999999999,06_supplementary_evidence/ardg_rgpc_formation_final/raw/Scene07COff.csv,8F56C30F00789D79CC06C2E13635B4493EA4ED586D64BB8E9EE36A01A22B957A
Scene07COnPredictiveV5C,PP-CBF predictive supervisor on,ARDG-RGPC,0.6966071372749392,0.08333932631998213,0.6113274029751086,0,06_supplementary_evidence/ardg_rgpc_formation_final/raw/Scene07COnPredictiveV5C.csv,B27BC7EAEE58B6F2D6C1BD50AFE8C0096175A89004CE24C43A069332A18C708A
