item,value,unit,interpretation_zh,source_reference,source_sha256
joint_candidates,14,count,联合搜索候选数,05_visuals/final_shared_assets/FINAL_ASSET_INDEX.json,8326962EF553A310575C85E96209C0187C4E278165EA166A16F7C0CE0B7C7E46
local_candidates,8,count,局部精调候选数,05_visuals/final_shared_assets/FINAL_ASSET_INDEX.json,8326962EF553A310575C85E96209C0187C4E278165EA166A16F7C0CE0B7C7E46
core_screening_runs,44,runs,两个角扰动场景的核心筛选运行数,05_visuals/final_shared_assets/FINAL_ASSET_INDEX.json,8326962EF553A310575C85E96209C0187C4E278165EA166A16F7C0CE0B7C7E46
Kc,0.8989438715289305,1,角残差补偿增益,05_visuals/final_shared_assets/FINAL_ASSET_INDEX.json,8326962EF553A310575C85E96209C0187C4E278165EA166A16F7C0CE0B7C7E46
Cmax,0.0003295328449663131,N*m,补偿力矩限幅,05_visuals/final_shared_assets/FINAL_ASSET_INDEX.json,8326962EF553A310575C85E96209C0187C4E278165EA166A16F7C0CE0B7C7E46
Rmax,4.195751028483854e-05,N*m/sample,补偿变化率限幅,05_visuals/final_shared_assets/FINAL_ASSET_INDEX.json,8326962EF553A310575C85E96209C0187C4E278165EA166A16F7C0CE0B7C7E46
