case_id,scene_zh,official_pid_attitude_event_iae_rad_s,ardg_rgpc_attitude_event_iae_rad_s,ardg_vs_pid_attitude_iae_increase_percent,official_pid_peak_attitude_error_deg,ardg_rgpc_peak_attitude_error_deg,official_pid_position_rmse_m,ardg_rgpc_position_rmse_m,official_pid_motor_tv,ardg_rgpc_motor_tv,ardg_motor_tv_reduction_percent,analysis_window_start_s,analysis_window_stop_s,comparison_status,official_pid_source,official_pid_sha256,ardg_rgpc_source,ardg_rgpc_sha256
BODY_ROLL_POS,正滚转角力矩脉冲,0.0034801895781538775,0.01390315103013907,299.4940711682213,0.2755702366958052,1.0403489025561286,0.004338092646601117,0.007827848992817979,0.9507944850283785,0.9263739843493966,2.568431039884824,8.0,12.25,official_PID_lower_attitude_and_position_error; ARDG-RGPC_lower_motor_TV,04_results/report_evidence/official_pid_angular/BODY_ROLL_POS/raw.csv,0C928F75CDE03B6228A6365994C1A46D667C335E22D5DB0C1192DE4E314236A6,05_visuals/final_shared_assets/data/BODY_ROLL_POS_ARDG-RGPC.csv,AD25944A278599263417CDCECFB3CC25A8CC999C7A364D6B5969841E70FD9531
BODY_PITCH_NEG,负俯仰角力矩脉冲,0.003473765213154511,0.013903155359895851,300.23301826062266,0.2755621548803862,1.0403488741456302,0.004319151582038672,0.007827858400067628,0.9509283061606482,0.9263728928619024,2.582257057620643,8.0,12.25,official_PID_lower_attitude_and_position_error; ARDG-RGPC_lower_motor_TV,04_results/report_evidence/official_pid_angular/BODY_PITCH_NEG/raw.csv,86BA83CF331EBE3267029B096B31EACF6D81CA077C0AFEF03C0EB399F25C0166,05_visuals/final_shared_assets/data/BODY_PITCH_NEG_ARDG-RGPC.csv,4676CE73F6D85405B3E4E2EA88190C1BD79941B5F2F79872D752E62838CB6AF5
