time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.1316620268736755e-16,2.9825299685020676e-16,1.785860686960865e-06,-1.0878917513285293e-14,2.787864785958163e-14,0.00019700468235168825,2.6418072603900863e-14,1.8088451008762757e-15,-2.931433133129684e-13,3.541702454265121e-12,9.243379754458159e-14,-3.494243522899797e-11,1.0,-2.9314331331296834e-13,-1.80884510088402e-15,2.9314331331296834e-13,1.0,2.6418072603900333e-14,1.8088451008762757e-15,-2.6418072603900863e-14,1.0,14.722876481041483,-14.72287648103931,14.722876481039258,-14.72287648104143,5.410713116688435,-5.410713116688397,5.4107131166883615,-5.410713116688276,5.382142170282626e-15,-1.3796615324392449e-14,1.7341047350077734,-1.0865113721451434e-14,-2.6046826917194147e-16,0.0,2.0681188977732966e-18,0.0,0.0029982141393130393,1.8507379983429462e-14,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.2032411330910253e-16,5.865959384268529e-16,4.171332182685674e-06,-1.2685003704837968e-14,2.684241949867421e-14,0.0002918752682110876,6.522156851085395e-14,-3.3983626421823275e-15,-7.118548312649169e-13,4.789391298789756e-12,-1.5039943302625227e-12,-2.1768621958733167e-11,1.0,-7.118548312649171e-13,3.398362642135899e-15,7.118548312649169e-13,1.0,6.522156851085637e-14,-3.3983626421823275e-15,-6.522156851085395e-14,1.0,14.728926407191182,-14.728926407188156,14.728926407189078,-14.728926407192102,11.767947871411863,-11.767947871411813,11.767947871411767,-11.767947871411693,6.320366213398768e-15,-1.343525231712282e-14,1.7355301848673819,-1.511541744302473e-14,4.603504448840661e-15,0.0,2.7266244463692114e-18,0.0,0.005995828667817314,5.790980005679308e-14,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-3.1450921664031747e-17,1.114881055701922e-15,9.633318014212531e-05,3.373781471788789e-14,5.191062339131688e-14,0.03222276152218431,1.2548612243987402e-13,-3.244623091207327e-14,-1.0228978652136587e-12,7.140452277103733e-12,-2.4089333257230356e-12,-9.586807468087422e-11,1.0,-1.0228978652136627e-12,3.2446230911944904e-14,1.0228978652136587e-12,1.0,1.254861224399072e-13,-3.244623091207327e-14,-1.2548612243987402e-13,1.0,14.675179697620424,-14.675179697615835,14.675179697617345,-14.675179697621934,16.264293547094862,-16.264293547090908,16.26429354709216,-16.264293547096162,-1.6497742497259865e-14,-2.5972586448618798e-14,1.722887193259244,-2.2856700954774154e-14,7.524117696874506e-15,0.0,2.220542081418582e-16,0.0,0.008903666819857874,1.127549203641866e-13,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.8607248159052582e-16,1.2343042504954133e-15,0.000648620179162474,1.1061889024733765e-14,-3.206932290988387e-14,0.07415236435742957,1.8295150357685249e-13,-4.5248079488223214e-14,-2.428484412928098e-12,3.98871043769255e-12,1.832783950558203e-13,-1.85404479758217e-10,1.0,-2.4284844129281062e-12,4.5248079487778915e-14,2.428484412928098e-12,1.0,1.8295150357696235e-13,-4.5248079488223214e-14,-1.8295150357685249e-13,1.0,14.60143109029625,-14.601431090293332,14.601431090293332,-14.60143109029625,14.98416171915022,-14.984161719145233,14.98416171914691,-14.984161719151858,-5.508576200302544e-15,1.507267968777605e-14,1.7056143190770185,-1.4459383123806762e-14,-3.595898563660452e-18,0.0,4.198369837747335e-18,0.0,0.011351379820837526,1.9633749999664202e-13,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.500253095742741e-16,6.087764649566445e-16,0.001561049469986749,6.0545055172151986e-15,-6.762859967981523e-14,0.10694866543347155,2.145932946847729e-13,-4.198284246124685e-14,-4.322552841470746e-12,3.3130807941245425e-12,5.237526328404172e-13,-2.2924356429108304e-10,1.0,-4.3225528414707545e-12,4.1982842460319265e-14,4.322552841470745e-12,1.0,2.1459329468495434e-13,-4.198284246124685e-14,-2.145932946847729e-13,1.0,14.543850057443246,-14.543850057440615,14.543850057440402,-14.543850057443032,14.6300006838699,-14.630000683867298,14.630000683866946,-14.630000683869577,-3.0899583616668676e-15,3.2794263759075677e-14,1.6921885959468044,-1.2980892514238366e-14,-1.0492191155624713e-15,0.0,5.16353635363795e-18,0.0,0.013438950530013254,2.3739413729825974e-13,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.5680319393425318e-16,-3.330810632588255e-16,0.0027793842733927735,-2.3290789605309073e-14,-1.1413003853309952e-13,0.1363101651702986,2.4087979232311396e-13,-3.5831012904139255e-14,-6.572377825806261e-12,1.777008267528831e-12,1.592337636492058e-12,-1.956358133564477e-10,1.0,-6.57237782580627e-12,3.5831012902556106e-14,6.572377825806262e-12,1.0,2.4087979232334943e-13,-3.5831012904139255e-14,-2.4087979232311396e-13,1.0,14.49192124245804,-14.491921242456232,14.491921242455373,-14.491921242457181,14.535233149355927,-14.535233149353441,14.53523314935305,-14.535233149355463,1.1270256610786633e-14,5.603170354109019e-14,1.6801262503805434,-8.89600817968108e-15,-4.224005976139323e-15,0.0,2.2205271356387683e-16,0.0,0.015220615726607226,2.77509242314018e-13,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.1364422739414212e-16,-1.6766520070560377e-15,0.004283228550699885,7.538126330343413e-15,-1.1623324957194702e-13,0.1642079663021116,2.561870146726985e-13,-3.0428685680444166e-14,-8.590086530123909e-12,2.574647841143295e-12,-2.4721225811988854e-14,-2.0281194030226902e-10,1.0,-8.590086530123917e-12,3.0428685678243496e-14,8.59008653012391e-12,1.0,2.5618701467295993e-13,-3.0428685680444166e-14,-2.561870146726985e-13,1.0,14.441991506742516,-14.44199150674017,14.44199150674026,-14.441991506742607,14.477337725728614,-14.477337725727054,14.477337725726043,-14.477337725727601,-3.797745286357608e-15,5.774072135535883e-14,1.6685689494463232,-1.1504238878490069e-14,4.4014794951844986e-16,0.0,5.7543775620789346e-18,0.0,0.016716771449300116,2.9215155201130037e-13,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.484664958193725e-16,-3.2421319510683154e-15,0.006061079189845525,-4.235126298410982e-14,-2.4337836277157326e-13,0.1911297811061485,2.709635778244836e-13,-2.934015990878897e-14,-1.0928369411922944e-11,-1.6286002691984017e-12,2.0521194387989805e-12,-3.643324008157824e-10,1.0,-1.0928369411922953e-11,2.9340159905827774e-14,1.0928369411922946e-11,1.0,2.709635778248042e-13,-2.934015990878897e-14,-2.709635778244836e-13,1.0,14.39317318676981,-14.393173186769895,14.393173186768745,-14.39317318676866,14.425363753070357,-14.425363753068046,14.425363753068257,-14.425363753070707,2.0604004089514644e-14,1.2076624392597977e-13,1.6573074750746726,4.1597803806013864e-16,-5.613317433029847e-15,0.0,2.2205263152506845e-16,0.0,0.017938920810154475,3.463606988109963e-13,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.4325276995794884e-16,-6.012118156515164e-15,0.008103777444144918,-3.34932786428774e-14,-2.865252737283429e-13,0.21718546318159104,2.5398719655055437e-13,-6.129318502982445e-15,-1.4417383958440878e-11,1.1214668708952667e-12,1.888879182553171e-12,-3.118626089836773e-10,1.0,-1.441738395844088e-11,6.129318499320614e-15,1.441738395844088e-11,1.0,2.539871965506427e-13,-6.129318502982445e-15,-2.5398719655055437e-13,1.0,14.34528632145376,-14.345286321452159,14.345286321451036,-14.345286321452638,14.376083784749444,-14.376083784750131,14.376083784748735,-14.376083784748031,1.6516990616472164e-14,1.4328638414404916e-13,1.6462979171555943,-7.797695838685768e-15,-5.456529905551711e-15,0.0,4.686045286461988e-18,0.0,0.018896222555855085,3.414054815800944e-13,0.0,0.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
