time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,-0.0,-0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.092895120587004e-17,2.5458201362975563e-16,1.4664342929055307e-06,4.121630870267106e-15,2.9210471575243216e-14,0.0001651249613931997,2.08219777688012e-14,-2.623152194605733e-15,-1.1983090324472224e-12,2.878357441487406e-12,-4.362783429590892e-13,-2.406911889171279e-10,1.0,-1.1983090324472224e-12,2.623152194580782e-15,1.1983090324472224e-12,1.0,2.082197776880434e-14,-2.623152194605733e-15,-2.08219777688012e-14,1.0,14.722936761688421,-14.722936761686661,14.722936761686928,-14.722936761688688,5.410715397312765,-5.41071539731283,5.410715397312731,-5.410715397312855,-2.033058298261323e-15,-1.4426414988043428e-14,1.7341189351092348,-8.797608939614358e-15,1.3276949778845143e-15,0.0,3.759447482658606e-18,0.0,0.0029985335657070947,1.2586704956687112e-14,1.0,1.0,0.0,-0.2262677061712048,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,9.229760367407991e-17,5.4523330985017e-16,3.533748175814435e-06,8.18763474786092e-15,3.1828171121373384e-14,0.0002601231321322387,4.230652074380002e-14,-1.1779068917128704e-14,-3.796384945714655e-12,2.378788290645029e-12,-1.639108012559841e-12,-3.556274651479833e-10,1.0,-3.7963849457146556e-12,1.1779068916968092e-14,3.7963849457146556e-12,1.0,4.230652074384474e-14,-1.1779068917128704e-14,-4.230652074380002e-14,1.0,14.728987085393237,-14.728987085391726,14.728987085392733,-14.728987085394245,11.767952831341026,-11.76795283134111,11.767952831340985,-11.767952831341196,-4.054284815757979e-15,-1.585470779625217e-14,1.7355444844933867,-7.56759082938182e-15,5.040083537326281e-15,0.0,5.717689861513611e-18,0.0,0.005996466251824185,3.448914769109011e-14,1.0,1.0,0.0,-0.2293873061720306,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,6.174936937603805e-18,7.410166360351588e-16,4.0420230118823285e-05,-2.5365820847488926e-14,1.2984993939429561e-14,0.014674826071952387,4.714948104362458e-14,-4.448742427113191e-15,-9.060301287009141e-12,-2.275054429450541e-13,2.9724106016003968e-12,-6.802554697023192e-10,1.0,-9.060301287009141e-12,4.4487424266860026e-15,9.060301287009141e-12,1.0,4.714948104366488e-14,-4.448742427113191e-15,-4.714948104362458e-14,1.0,14.708181528334787,-14.70818152833481,14.708181528333053,-14.70818152833303,16.264367234745002,-16.26436723474298,16.264367234744334,-16.26436723474626,1.2412686454315678e-14,-6.730561291837699e-15,1.7306448309633853,1.2013070296303454e-16,-8.766158384493589e-15,0.0,5.52209155857516e-18,0.0,0.008959579769881177,4.479412277270825e-14,1.0,1.0,0.0,0.0930018133316346,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.9484326192875617e-16,7.638806114863592e-16,0.00028777577969080144,-2.619934211762384e-15,-7.286382419339756e-16,0.031594686186642185,4.4342714436072306e-14,7.24566462900528e-15,-1.4424290713515243e-11,1.0741014780408958e-13,-1.6176150091456147e-12,-3.528146769610535e-10,1.0,-1.4424290713515243e-11,-7.245664629644891e-15,1.4424290713515243e-11,1.0,4.43427144359678e-14,7.24566462900528e-15,-4.4342714436072306e-14,1.0,14.682211088833103,-14.682211088832924,14.68221108883388,-14.682211088834059,15.025692640359487,-15.025692640359916,15.02569264035745,-15.025692640357004,1.3809282744676353e-15,-2.971330721160909e-17,1.7245385796565211,-8.98461744649205e-16,4.769061167480891e-15,0.0,3.4470853231845277e-18,0.0,0.011712224220309198,4.479157833157832e-14,1.0,1.0,0.0,0.2238144375190758,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.1131178624803044e-16,7.433729152578313e-16,0.0006591103644557246,-1.6077023715370944e-14,-1.2861524231714251e-15,0.041731112385864244,4.5966277076383944e-14,-8.880066299303986e-15,-1.7872971197342144e-11,4.081043123017172e-13,-6.760078024103753e-13,-2.8799179817747974e-10,1.0,-1.7872971197342144e-11,8.880066298482432e-15,1.7872971197342144e-11,1.0,4.596627707654266e-14,-8.880066299303986e-15,-4.5966277076383944e-14,1.0,14.668673693031407,-14.66867369303104,14.668673693031483,-14.668673693031849,14.725871269865463,-14.72587126986532,14.725871269866776,-14.725871269866854,7.97610011800432e-15,2.5354568798011306e-16,1.721359903301062,-1.8237893585021414e-15,2.203701120956686e-15,0.0,4.100498223257771e-18,0.0,0.014340889635544278,4.805289486631342e-14,1.0,1.0,0.0,0.10491072941356568,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-4.168934666064417e-16,1.101769113836012e-15,0.0011171079251342912,-5.050643502070134e-14,-2.171829370545307e-14,0.04970355183714753,6.687370849736762e-14,-1.3544515919350756e-14,-2.0646978553971776e-11,-2.984536921280975e-13,1.8396765736937164e-12,-1.7925998945624873e-10,1.0,-2.0646978553971776e-11,1.3544515917970016e-14,2.0646978553971776e-11,1.0,6.687370849764727e-14,-1.3544515919350756e-14,-6.687370849736762e-14,1.0,14.659007870801812,-14.659007870801801,14.659007870800766,-14.659007870800776,14.675730291295185,-14.675730291294693,14.67573029129522,-14.675730291295599,2.4932246138254898e-14,1.007319526440337e-14,1.719092094049713,-5.0171958275300413e-17,-5.154410097243521e-15,0.0,2.2206900955376895e-16,0.0,0.016882892074865707,7.795387005358868e-14,1.0,1.0,0.0,0.0351214019621824,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.140239547643727e-15,5.900867109938839e-16,0.001651277319066245,-1.368189062372865e-13,-1.9630263688682532e-13,0.05708299808445506,5.460858703554407e-14,1.4499027581554122e-14,-2.242010871677672e-11,-6.159793762273122e-12,6.032883356471045e-12,-1.8740551894307773e-10,1.0,-2.242010871677672e-11,-1.4499027582778453e-14,2.242010871677672e-11,1.0,5.4608587035218994e-14,1.4499027581554122e-14,-5.460858703554407e-14,1.0,14.65029107279163,-14.650291072795056,14.650291072791482,-14.650291072788054,14.659481925455818,-14.659481925455692,14.659481925454497,-14.659481925454426,6.75454740315813e-14,9.5785804452513e-14,1.7170482281401276,1.7044262618731756e-14,-1.777574168040289e-14,0.0,5.335215544176772e-18,0.0,0.019348722680933756,1.1315370023487815e-13,1.0,1.0,0.0,0.010454842795761036,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-3.0354122200464128e-15,-1.5912364543598041e-15,0.002258111318568988,-2.439163273095969e-13,-2.902537160894279e-13,0.06424686414075262,-1.3591965231127566e-14,9.859330041536767e-14,-2.4345208667689393e-11,-9.387897052727641e-12,1.106619411725069e-11,-2.107609824155004e-10,1.0,-2.4345208667689393e-11,-9.859330041503677e-14,2.4345208667689393e-11,1.0,-1.359196523352784e-14,9.859330041536767e-14,1.3591965231127566e-14,1.0,14.641822645785075,-14.641822645790558,14.641822645783805,-14.641822645778321,14.648274356424755,-14.648274356429342,14.648274356424688,-14.648274356420364,1.2092500556830456e-13,1.4287532618388061e-13,1.7150637631248482,2.7257407005998497e-14,-3.3563696640630756e-14,0.0,3.3223787861340497e-18,0.0,0.021741888681431013,7.515897976498749e-14,1.0,1.0,0.0,0.003373836103821057,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-5.777566235729001e-15,-4.054620001665758e-15,0.0029358659244666982,-7.371517992330976e-13,-1.0463498472711761e-13,0.07127012946114254,-8.849378825208652e-14,2.2436568901472615e-13,-2.6482674261968938e-11,-9.855562275519945e-13,3.207721349101023e-11,-2.3778542272293194e-10,1.0,-2.6482674261968957e-11,-2.2436568901238259e-13,2.6482674261968938e-11,1.0,-8.849378825802832e-14,2.2436568901472615e-13,8.849378825208652e-14,1.0,14.63346559458583,-14.633465594586577,14.633465594567172,-14.633465594566426,14.639025014289665,-14.63902501429617,14.63902501428821,-14.639025014282035,3.637359400032147e-13,5.326646031389222e-14,1.7131065224612334,3.702872561351202e-15,-9.638816489508953e-14,0.0,1.7869697951320242e-18,0.0,0.024064134075533306,5.864950164392447e-14,1.0,1.0,0.0,0.0015019865355510537,3600.0,914.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
