time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.1,0.0,0.0,0.030000000000000006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-9.239969053843484e-15,3.2589267357613096e-15,0.0006647195871700541,-2.2484564432634416e-13,-5.381776900246571e-13,0.0027182493331025515,3.9490033026196795e-13,-5.819269509828213e-14,-7.447244788299679e-12,-1.5080237016786867e-11,2.157685380773001e-12,7.068747551227987e-11,1.0,-7.447244788299702e-12,5.81926950953412e-14,7.447244788299679e-12,1.0,3.9490033026240133e-13,-5.819269509828213e-14,-3.9490033026196795e-13,1.0,14.772801333151651,-14.77280133315926,14.77280133315829,-14.772801333150682,14.766605947578395,-14.766605947582972,14.76660594758134,-14.766605947576664,1.147286536247611e-13,2.6177354331483093e-13,1.7458852738309223,3.8157820226190825e-14,-4.862272466586607e-15,0.0,2.0965515237081516e-18,0.0,0.029335280412829953,5.587494832853828e-13,1.0,1.0,0.0,-0.3026897676300386,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.033,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.1705834771615449e-14,-2.092899778136203e-15,0.0006827667979528365,-4.590642837792565e-13,-8.030768919733995e-13,0.0009245531378706453,2.533843444734455e-13,-2.813795404033946e-14,-6.8270191463185055e-12,-2.4627624399617327e-11,1.2088623498575395e-11,4.681434759468145e-11,1.0,-6.827019146318513e-12,2.81379540386096e-14,6.827019146318506e-12,1.0,2.5338434447363754e-13,-2.813795404033946e-14,-2.533843444734455e-13,1.0,14.782316356587565,-14.782316356601049,14.782316356594237,-14.782316356580752,14.776228159779077,-14.77622815978941,14.776228159788435,-14.77622815977834,2.306188629256203e-13,3.9414064689622785e-13,1.7481350149306791,6.765785116307164e-14,-3.418508071621722e-14,0.0,4.115931737092355e-18,0.0,0.032317233202047164,5.048907870215981e-13,1.0,1.0,1.0,-0.3028537021690694,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.036,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-8.16632459462472e-14,-9.739147304438028e-15,0.0006865410249391888,-1.1754470351495044e-11,-8.036376348599653e-13,0.0001457030797895523,2.2634313391713562e-14,2.8494849347492275e-12,-6.367658686469973e-12,-2.4991577721880836e-11,4.914011185921027e-10,3.972044471428277e-11,1.0,-6.367658686469908e-12,-2.8494849347493713e-12,6.367658686469973e-12,1.0,2.2634313373569017e-14,2.8494849347492275e-12,-2.2634313391713562e-14,1.0,14.789965682638933,-14.789965682653218,14.789965682360766,-14.78996568234648,14.78567051222255,-14.785670512238164,14.785670512229839,-14.785670512214082,5.794765317859863e-12,3.982824765595211e-13,1.749944679116186,7.172172373424306e-14,-1.4681984710175406e-12,0.0,2.6624685677117655e-18,0.0,0.03531345897506081,5.253385007741106e-13,1.082313599946102,1.0,1.0,-0.09929587334329944,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.039,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-7.732718331167216e-14,5.529806266419043e-14,0.0006883729532176023,5.638123519285684e-12,1.2598564664719252e-11,9.132063783848606e-05,2.905760288661842e-12,2.782730440659066e-12,-6.095148760486146e-12,5.507324375189622e-10,-2.149817366603985e-10,2.6964632478950365e-11,1.0,-6.09514876047806e-12,-2.7827304406767767e-12,6.095148760486146e-12,1.0,2.9057602886448807e-12,2.782730440659066e-12,-2.905760288661842e-12,1.0,14.79626705178561,-14.796267051458281,14.79626705157547,-14.796267051902799,14.792821004455856,-14.792821004470921,14.792821004103958,-14.792821004088964,-2.7205816270493907e-12,-6.1945890720268265e-12,1.751436149317177,-1.6439929820718193e-12,5.885762512247638e-13,0.0,4.521908070556577e-18,0.0,0.0383116270467824,4.381760575339615e-12,1.0900346924141413,1.0,1.0,-0.030668162058618605,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.042,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4.62542652786159e-13,1.6797836312481764e-12,0.0006899672052452132,8.002308403765296e-11,2.466280142332089e-10,0.00018845627545233692,7.086053628896844e-11,-1.8306430181840058e-11,-5.810129756233162e-12,1.036505235142135e-08,-3.1391936799181158e-09,2.92617978845117e-11,1.0,-5.810129757530365e-12,1.8306430181428348e-11,5.810129756233162e-12,1.0,7.086053628907481e-11,-1.8306430181840058e-11,-7.086053628896844e-11,1.0,14.802284406300949,-14.802284400108325,14.802284401971868,-14.802284408164489,14.798620572945378,-14.798620572529641,14.798620572729376,-14.798620573144998,-3.9402850573965536e-11,-1.2156663752543248e-10,1.7528609886475195,-3.111475154488563e-11,9.363335493153234e-12,0.0,2.8025752810104243e-18,0.0,0.041310032794754786,4.4366169935850754e-12,1.091627278390753,1.0,1.0,-0.012267987431209703,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.045,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.196696913857506e-12,3.910346939007386e-12,0.0006971063616712527,6.148550721099953e-11,1.819779012558391e-10,0.0009043124061525051,1.6674038974165766e-10,-4.750535049308582e-11,-5.4595389777729915e-12,8.140407364931989e-09,-2.496801360785833e-09,3.494512505836766e-11,1.0,-5.459538985694052e-12,4.750535049217549e-11,5.4595389777729915e-12,1.0,1.6674038974191703e-10,-4.750535049308582e-11,-1.6674038974165766e-10,1.0,14.807137441541096,-14.807137436385242,14.807137437953132,-14.807137443108987,14.804437506384154,-14.804437498644972,14.804437500991625,-14.804437508730611,-3.0700586622490185e-11,-9.105053043410621e-11,1.7540105532764858,-2.591401832754866e-11,7.880433601722154e-12,0.0,2.0394887954537855e-18,0.0,0.04430289363832875,1.1868519392651915e-10,1.0921108089773872,1.0,1.0,0.018518003603181836,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.048,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.7023188498126643e-12,5.3662318098286764e-12,0.0007018122240446846,3.978298315679451e-11,1.1051831298606252e-10,0.0036876005995775314,2.3675223196208766e-10,-6.900592114218258e-11,-5.087863159168247e-12,5.964168473207465e-09,-1.8242040840734831e-09,3.474708567067946e-11,1.0,-5.087863175505553e-12,6.900592114097803e-11,5.0878631591682464e-12,1.0,2.367522319624388e-10,-6.900592114218258e-11,-2.3675223196208766e-10,1.0,14.808150449146387,-14.808150445058178,14.808150446295429,-14.808150450383636,14.808954583281704,-14.808954577907235,14.808954579546597,-14.808954584921025,-2.0333587400274332e-11,-5.6809567826007894e-11,1.7542505574586953,-2.0549293043814156e-11,6.219005714146981e-12,0.0,1.1836016646824081e-18,0.0,0.04729818777595532,2.122801498308778e-10,1.091521305611911,1.0,1.0,0.12006410064780097,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.051000000000000004,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.9988578207448753e-12,6.13384161054882e-12,0.0007320368034054014,2.016216875487025e-11,4.547830322579593e-11,0.002359368525514354,2.8739258529881896e-10,-8.450797468753446e-11,-4.793225500692104e-12,4.301499249700831e-09,-1.3129031557935931e-09,3.9903744448226034e-11,1.0,-4.79322552497907e-12,8.450797468615692e-11,4.793225500692105e-12,1.0,2.8739258529922407e-10,-8.450797468753446e-11,-2.8739258529881896e-10,1.0,14.816752725797116,-14.816752722525777,14.816752723511339,-14.816752726782678,14.808873314897399,-14.808873311113762,14.80887331225813,-14.808873316041446,-1.0879771531721738e-11,-2.536267694261303e-11,1.7562892904283878,-1.645286759248217e-11,4.9567813995297735e-12,0.0,2.220735287369609e-16,0.0,0.0502679631965946,2.839639009938902e-10,1.0883097938376756,1.0,1.0,-0.08012007569724951,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.054000000000000006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.1078041492722922e-12,6.280164729903619e-12,0.0007493440842200482,1.9325145414355073e-12,-1.478291253268286e-11,0.0011333398111240123,3.2356072205273815e-10,-9.554780874955488e-11,-4.264817659278426e-12,3.016916672459858e-09,-9.170465932589365e-10,1.2328120683809725e-10,1.0,-4.264817690193944e-12,9.554780874817496e-11,4.264817659278426e-12,1.0,3.2356072205314564e-10,-9.554780874955488e-11,-3.2356072205273815e-10,1.0,14.825186859331923,-14.82518685669155,14.825186857482127,-14.8251868601225,14.81911462466231,-14.819114621698978,14.819114622589854,-14.819114625553174,-2.0120052331889892e-12,4.0593753239387545e-12,1.7582893230934749,-1.3287052597377517e-11,3.978385431941465e-12,0.0,4.811481383278403e-18,0.0,0.05325065591577996,3.392681946916264e-10,1.0901648341351178,1.0,1.0,-0.10918241642748905,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.0,0.0,0.05700000000000001,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.041058029452131e-12,5.841849260259763e-12,0.0007549667838638239,-1.4977307505725143e-11,-7.178817157761978e-11,3.4495508454346444e-05,3.4830090728072904e-10,-1.031043024922119e-10,-3.0580594442022645e-12,1.9942065858139365e-09,-6.121922161712067e-10,1.176713901835039e-10,1.0,-3.0580594801135866e-12,1.0310430249114677e-10,3.058059444202265e-12,1.0,3.483009072810443e-10,-1.031043024922119e-10,-3.4830090728072904e-10,1.0,14.83340422628899,-14.83340422415431,14.83340422479451,-14.83340422692919,14.828093203597458,-14.828093201197198,14.82809320191353,-14.828093204313886,6.298605477842625e-12,3.218343613851379e-11,1.7602390473465586,-1.0748217830177934e-11,3.2234500529067943e-12,0.0,2.2207563545477757e-16,0.0,0.056245033216136185,3.8179227623587285e-10,1.0923771037548142,1.0,1.0,-0.10436358464293786,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
