time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,-0.0,-0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.5133380038679437e-16,3.074144932345224e-16,1.7858606869609225e-06,-2.8045716926241066e-14,2.729763056873497e-14,0.00019700468235168806,3.427354183802193e-14,4.995415104660269e-15,-5.809458090292682e-13,4.848785221587799e-12,2.2751722425871005e-13,-1.0749536661079539e-10,1.0,-5.80945809029268e-13,-4.9954151046801795e-15,5.809458090292682e-13,1.0,3.4273541838019027e-14,4.995415104660269e-15,-3.427354183802193e-14,1.0,14.722876481041924,-14.722876481038945,14.722876481038815,-14.722876481041794,5.4107131166884574,-5.410713116688447,5.410713116688454,-5.410713116688362,1.3854659569554e-14,-1.3516858514877519e-14,1.7341047350077734,-1.489058036615265e-14,-6.436283458268665e-16,0.0,5.310402791067907e-18,0.0,0.0029982141393130393,2.6647565074918488e-14,1.0,1.0,0.0,-0.22554346502292788,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-5.123195640780649e-16,5.957433679616692e-16,4.171332182685725e-06,-2.5930896089170255e-14,2.7523307226154122e-14,0.0002918752682110898,8.218775064736278e-14,7.513444938012336e-15,-1.1816112017083945e-12,5.006761970353717e-12,1.383568252223874e-13,-8.001279967675645e-12,1.0,-1.1816112017083939e-12,-7.513444938109451e-15,1.1816112017083947e-12,1.0,8.218775064735389e-14,7.513444938012336e-15,-8.218775064736278e-14,1.0,14.72892640719177,-14.728926407188572,14.728926407188489,-14.728926407191686,11.767947871411796,-11.767947871411787,11.767947871411812,-11.767947871411641,1.2951520976965e-14,-1.3773153107735647e-14,1.7355301848673819,-1.5985558777393674e-14,-4.157318087742082e-16,0.0,9.370780299299917e-19,0.0,0.005995828667817314,7.425177637543109e-14,1.0,1.0,0.0,-0.2292222878133477,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.2191778903096494e-13,1.226091692003204e-13,9.633318004262141e-05,-1.7391612756671647e-11,1.7466898204823625e-11,0.0322227615164656,5.3958242427462565e-12,5.2460458971372255e-12,-1.1757805511712126e-12,7.679301960489623e-10,7.59707043729289e-10,-5.3410417142208634e-11,1.0,-1.1757805511429059e-12,-5.24604589714357e-12,1.1757805511712126e-12,1.0,5.395824242740088e-12,5.2460458971372255e-12,-5.3958242427462565e-12,1.0,14.675179698090698,-14.675179697627177,14.675179697168945,-14.675179697632466,16.26429354710377,-16.264293547099598,16.264293547099438,-16.264293547103698,8.574337877126536e-12,-8.611537539565356e-12,1.722887193261812,-2.3089581733040516e-12,-2.282622286927013e-12,0.0,3.422713850585357e-18,0.0,0.008903666819957377,4.801505426297013e-13,1.0,1.0,0.0,0.490460058489981,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.7477993204793675e-13,2.758183778196525e-13,0.0006486201790069612,-1.1663624026155386e-11,1.1656488696071835e-11,0.07415236435197223,1.2419076530670099e-11,1.2193090298144088e-11,-9.934944517287186e-13,5.7844217605347e-10,5.714533857193939e-10,7.46455999253459e-11,1.0,-9.934944515772916e-13,-1.2193090298156428e-11,9.934944517287186e-13,1.0,1.2419076530657985e-11,1.2193090298144088e-11,-1.2419076530670099e-11,1.0,14.601431090676703,-14.601431090302993,14.60143108993411,-14.60143109030782,14.984161719743481,-14.984161719160804,14.984161718583922,-14.984161719166604,5.847974424473055e-12,-5.845007125128765e-12,1.7056143190794988,-1.852224537856346e-12,-1.8282977294111414e-12,0.0,3.580588033824381e-18,0.0,0.01135137982099304,1.255683294073768e-11,1.0,1.0,0.0,0.8889871137035004,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-3.598826238674645e-13,3.604074896807492e-13,0.0015610494697777765,-5.5877907930275464e-12,5.512843213849605e-12,0.1069486654282158,1.725222048502766e-11,1.6968490966799883e-11,-1.825311318235969e-13,4.0206160478848797e-10,3.9656447662083823e-10,8.590407046477299e-11,1.0,-1.8253113153085276e-13,-1.696849096680303e-11,1.825311318235969e-13,1.0,1.7252220485024565e-11,1.6968490966799883e-11,-1.725222048502766e-11,1.0,14.543850057735416,-14.54385005745014,14.54385005716901,-14.543850057454284,14.630000684266188,-14.630000683877734,14.63000068349418,-14.63000068388263,2.917079742200562e-12,-2.8806606163565466e-12,1.6921885959492218,-1.4083334121015525e-12,-1.3878737590696907e-12,0.0,3.65234102468857e-18,0.0,0.013438950530222227,2.1776092755321204e-11,1.0,1.0,0.0,0.7919076930379282,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-3.874121432856128e-13,3.867419237068093e-13,0.0027793842731321677,-1.8280294523133762e-13,2.443015284365668e-14,0.13631016516520356,2.055712119043648e-11,2.022524610261737e-11,2.948812855092244e-13,2.723818372571046e-10,2.664972112573342e-10,-1.3614147066021533e-10,1.0,2.948812859249972e-13,-2.022524610261131e-11,-2.9488128550922435e-13,1.0,2.0557121190442445e-11,2.022524610261737e-11,-2.055712119043648e-11,1.0,14.491921242684757,-14.491921242464642,14.491921242249113,-14.49192124246923,14.535233149622469,-14.535233149363016,14.535233149107466,-14.535233149367052,2.8542409709155754e-13,-2.0756637067368287e-13,1.6801262503829153,-1.0827820395290301e-12,-1.0602113601588329e-12,0.0,3.407011646755894e-18,0.0,0.015220615726867831,2.8631254966986918e-11,1.0,1.0,0.0,0.7141336540348215,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-3.6402929558058383e-13,3.612349389610967e-13,0.0042832285503893825,4.726988513879681e-12,-4.952759442881231e-12,0.16420796629720666,2.276338928155831e-11,2.2387092009537533e-11,-1.1707860560661707e-12,1.776262265914229e-10,1.729961000334437e-10,-1.6310524953823617e-10,1.0,-1.1707860555565646e-12,-2.2387092009564183e-11,1.1707860560661709e-12,1.0,2.27633892815321e-11,2.2387092009537533e-11,-2.276338928155831e-11,1.0,14.441991506922022,-14.441991506749392,14.44199150658077,-14.4419915067534,14.47733772593046,-14.477337725735264,14.477337725544729,-14.47733772573995,-2.12959849418016e-12,2.241519948214479e-12,1.6685689494486358,-8.462666631602508e-13,-8.266124268756601e-13,0.0,1.805032523407563e-18,0.0,0.016716771449610618,3.378006059959814e-11,1.0,1.0,0.0,0.6842524777902844,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.9341277552851216e-13,2.877676978802506e-13,0.006061079189486848,9.245913958904076e-12,-9.633449909953347e-12,0.19112978110140616,2.4149294551009406e-11,2.37394261829569e-11,-2.6756596438604556e-12,1.0559114699697553e-10,1.0503223897863879e-10,-6.774021498681336e-11,1.0,-2.6756596432871653e-12,-2.3739426183021515e-11,2.6756596438604556e-12,1.0,2.4149294550945888e-11,2.37394261829569e-11,-2.4149294551009406e-11,1.0,14.393173186914673,-14.39317318677824,14.39317318664355,-14.393173186779984,14.425363753231517,-14.425363753077376,14.425363752927064,-14.425363753081216,-4.3771939942070516e-12,4.569736435984048e-12,1.6573074750769374,-6.665595037123515e-13,-6.580441786485096e-13,0.0,3.1602154571156597e-18,0.0,0.017938920810513154,3.768157234634332e-11,1.0,1.0,0.0,0.674784814015978,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.7886472893368422e-13,1.6897483884664698e-13,0.008103777443739673,1.357036098981367e-11,-1.402134809856579e-11,0.21718546317703613,2.4901376213796493e-11,2.4485265786538377e-11,-3.0789212801974996e-12,4.972897179085181e-11,4.768843515601506e-11,6.079288940411977e-11,1.0,-3.0789212795877827e-12,-2.4485265786615046e-11,3.0789212801974996e-12,1.0,2.4901376213721103e-11,2.4485265786538377e-11,-2.4901376213796493e-11,1.0,14.345286321568747,-14.345286321460637,14.345286321355262,-14.345286321463373,14.376083784880791,-14.376083784758224,14.376083784636853,-14.376083784759345,-6.551818073564994e-12,6.7775649223195726e-12,1.6462979171577992,-5.264238824476572e-13,-5.131102258353513e-13,0.0,2.2204486431068093e-16,0.0,0.01889622255626033,4.064865860343225e-11,1.0,1.0,0.0,0.6715544613069732,3600.0,914.0,1.1,0.9,1.1,0.1435536,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
