case_id,suite,role,controller_id,expected_hte_version,raw_path,raw_sha256,tracking_rmse_m,tracking_commanded_rmse_m,tracking_peak_m,steady_abs_error_m,disturbance_recovery_time_max_s,minimum_pairwise_distance_m,formation_rmse_m,all_physical_pass,all_performance_pass,all_pass
Scene05B_PayloadPlus10,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_PayloadPlus10.csv,7d74cb6840588c68598be0f09b6a1a6080da4bfb10b42a8386d298746ddd790d,0.3224214672830466,,0.3392217353555926,0.3269999999999948,,,,true,true,true
Scene05B_PayloadPlus10,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_PayloadPlus10.csv,c3be2459c2e4bfb6c695333bfaa583bcdacae8add1b8cebabe8b4b42f6479cf5,0.021520068222390897,,0.13300033503463443,9.712186430175708e-6,,,,true,true,true
Scene05B_C000,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C000.csv,95555c089ce30bfccfd931a3c0e9a5dd594acf7494f667c636e444c454e5abe9,0.014692923901779389,,0.07407654775577122,6.780112618649427e-15,,,,true,true,true
Scene05B_C000,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C000.csv,08014396136938badd6d63cc58b6e61e39995a731eaa75ee9f97580cbb52def7,0.014692923890282454,,0.0740765476591485,7.005332083716621e-15,,,,true,true,true
Scene05B_C001,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C001.csv,de05ada746e62fddf282c99308751404ef558639547dd730e9332aa40c7706c0,0.014692924132316945,,0.0740765477824541,6.823781507928149e-15,,,,true,true,true
Scene05B_C001,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C001.csv,da6ea604c7a88100a1d001fb63de221de8becd1e9540ec15af30c477b1f36189,0.01469292411087978,,0.0740765475962053,7.001975434631119e-15,,,,true,true,true
Scene05B_C010,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C010.csv,185d59852e144965d6fb1fc7b5242208cd470c9e764c66a3a4d94a3b643752b5,0.7124974142651385,,0.7450111151297749,0.7266666666666701,,,,true,true,true
Scene05B_C010,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C010.csv,0943328a25a413591ff278070ada915d6e78cf4b08ae830e08340a8ad8df963d,0.03367800223022429,,0.19574780566990824,0.0007910286241289999,,,,true,true,true
Scene05B_C011,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C011.csv,9d3885f572c1e8a4c2d60004e603ba10296af5c819ee42a874630212a05bdb0e,0.7124974143937187,,0.7450111150012908,0.7266666666666699,,,,true,true,true
Scene05B_C011,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C011.csv,8425e8e52eaa8c7b6f67cad60c482cfa833b39d873b967d0903499f297bd4c36,0.033678001273587777,,0.19574781071606567,0.0007910283415234508,,,,true,true,true
Scene05B_C100,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C100.csv,2f3a1178e42345a1549da43f817f77f289835a1a623f2ae763720cf6c7fdfe0a,0.5882090175622896,,0.6574568170491228,0.5945454545454424,,,,true,true,true
Scene05B_C100,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C100.csv,c37c51168bb7e41ef51470247928fe835f59d7f472f140be06298391e91030ce,0.01614272383913691,,0.08855922447908071,8.769904128516246e-6,,,,true,true,true
Scene05B_C101,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C101.csv,433c02dd309df0d6cd36505f9dbac7c263f327ce142338dd7dbe0b9016cf3377,0.5882090174850356,,0.6574568169885393,0.5945454545454422,,,,true,true,true
Scene05B_C101,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C101.csv,20e5280094d1638a930891d534040499efe294700d12aa0e167e21cce5375633,0.016142723151490936,,0.08855921799967864,8.769906300511984e-6,,,,true,true,true
Scene05B_C110,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C110.csv,36dd9fec9994f42c1a948d6d338340a8ae04fff6f2cbffd7e0661dc2fa6f224c,0.014692981984193994,,0.07407654756214277,7.027552338162565e-15,,,,true,true,true
Scene05B_C110,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C110.csv,c924927b6e6361828a3ec27cd9830965470838587a41abc3fa8c3e15cad43665,0.014692981982671903,,0.07407654754171156,7.565625397776338e-15,,,,true,true,true
Scene05B_C111,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C111.csv,f4b798e021d83a28c22e11ddf016c1e13ab2c33524d1e720a7b331af3336f71b,0.014692982212776306,,0.07407654759739635,7.344363358965447e-15,,,,true,true,true
Scene05B_C111,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C111.csv,315a406a7e8ae25bea9033b841935c4ed7467d4dd21483c15a073eaf06a75580,0.014692982206008572,,0.0740765475126588,7.566833717475415e-15,,,,true,true,true
Scene08_P0,wind,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene08_P0.csv,6eafe7bbc0322f57c84637be46f768ebfbc3365e88f61d601b9f10fe919cc6f7,0.032266191087839624,,0.07371788800835602,0.02903297647265156,,,,true,true,true
Scene08_P0,wind,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene08_P0.csv,f2ee4c65706f74dfba115043abe16c6e1d3550a7d0e9cb7572b4801739bebbdb,0.03226619107471299,,0.073717888001013,0.029032976432394123,,,,true,true,true
Scene08_P1,wind,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene08_P1.csv,14656b669df2030fe683be99a7835a23523698309c29ef422c4ad93fc7ca6ead,0.031961639546155954,,0.07371788800835602,0.02907808559139368,,,,true,true,true
Scene08_P1,wind,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene08_P1.csv,389b839866574ed35920f73c04c021beedfdd201f21c7b632f6b1598dd03de62,0.03196163962760304,,0.073717888001013,0.029078085605616963,,,,true,true,true
Scene08_P2,wind,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene08_P2.csv,e3fc201e61cde2862d6b0450f1e48d03888c8d03b0283b1e586d77d92f5236a6,0.03231371165965021,,0.07371788800835602,0.0290397869617118,,,,true,true,true
Scene08_P2,wind,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene08_P2.csv,6a747ca6d7adc13ac80e627e2817a2a4702283ecb39e4e0659f0e148cdd2ba23,0.03231371171562793,,0.073717888001013,0.029039786990192894,,,,true,true,true
Scene08_P3,wind,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene08_P3.csv,4b561bb629454bbd1ddf980a307deae573cec0a1d507137749bae95013de7cff,0.03231226225672496,,0.07371788800835602,0.029035824587444022,,,,true,true,true
Scene08_P3,wind,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene08_P3.csv,31e5aadfc409915f614ed71e9c77270d24ad71322e60dbf443169c1d1e5130a6,0.03231226237707863,,0.073717888001013,0.029035824665600785,,,,true,true,true
Scene08_P4,wind,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene08_P4.csv,d15ade004ce6ee63e058868458969447fef8a3a258200ebc23521eaf035a62b3,0.031966734039356404,,0.07371788800835602,0.029084917279109748,,,,true,true,true
Scene08_P4,wind,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene08_P4.csv,dde48c9998e43e0c74eb027988eccba82a987ced68cf6a52931801465041097f,0.03196673404747663,,0.073717888001013,0.029084917304023777,,,,true,true,true
Scene10_P0,sensor,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene10_P0.csv,7e7f6c0263a94741701f1f53fb066e843820992850f086ebb6057f9ea0a76b44,0.018668077068688223,,0.07371788800835602,0.0006923781834707023,,,,true,true,true
Scene10_P0,sensor,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene10_P0.csv,19f84c1e922576ef77faa23f222c01495373e52866bdfc2dbc8d0dcb12515451,0.018668077069636985,,0.073717888001013,0.0006923781842862156,,,,true,true,true
Scene10_P1,sensor,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene10_P1.csv,8388f008ceb564befbbe8dad53e3366ed5ff4ac132228870eb58bc4021f4efd3,0.01865699631242417,,0.07371788800835602,0.0007625853814016015,,,,true,true,true
Scene10_P1,sensor,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene10_P1.csv,23da784317d0c31415debbd64b88db7660b91289643761e0765c4a8cc52c5a1e,0.01865699631424351,,0.073717888001013,0.0007625853870184443,,,,true,true,true
Scene10_P2,sensor,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene10_P2.csv,7bdf20fe878a5561a7c876f45cc5a07b7b3c5595bcd15b560da750e1b3389d5f,0.01866572593709859,,0.07371788800835602,0.0007478887172477501,,,,true,true,true
Scene10_P2,sensor,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene10_P2.csv,f5e544ff2519d4a2b7a460bddd31fb91efc3f9d1ede6cbecb13f3b16ad3bf7dc,0.018665725937843245,,0.073717888001013,0.0007478887203741359,,,,true,true,true
Scene10_P3,sensor,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene10_P3.csv,a86b53d2726bcfd55c3c88daf0832a588d3854fdc8a6ac6452316c1358cd3656,0.018660398086382774,,0.07371788800835602,0.000700485510254645,,,,true,true,true
Scene10_P3,sensor,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene10_P3.csv,1bc96873fd7de2dc4856ebe5e50a363cd4eb59048f198750551a37f2f0f837b4,0.018660398087373582,,0.073717888001013,0.0007004855205640659,,,,true,true,true
Scene10_P4,sensor,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene10_P4.csv,cb1b10bf70589f6ac6b01ff60259b0c777c3a01b7d21e6e2814b8827c586cd87,0.018659323614591907,,0.07371788800835602,0.000777032175242579,,,,true,true,true
Scene10_P4,sensor,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene10_P4.csv,a20a6ddac7ae7ba0c7699f080b6f1c3ae14a94ddfa3ea2fe7fb3850a129ca6ac,0.018659323615068512,,0.073717888001013,0.0007770321953868715,,,,true,true,true
Scene07B,formation,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene07B.csv,fc562397f58d4910797ca5775f6ef72f7b9ce48c75f06788ca81dcc90be6b06a,,0.028713635472272278,,,,0.8529542348022404,0.03827874057127838,true,true,true
Scene07B,formation,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene07B.csv,50dbf50b8c05f538d5ddf2f9027eb0bc4424dca30055cbbfc4bde5f838b7b87b,,0.028713635176544888,,,,0.8529542369908109,0.03827874208128883,true,true,true
Scene07COff,formation,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene07COff.csv,6be8300b8d1b3f34ed1540921a5eea94f65fe4eb81aab97a4c27ff4a9ba72c40,,0.06723805344235385,,,,0.38317574815003735,0.08254594395357538,true,true,true
Scene07COff,formation,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene07COff.csv,d9edacc8337b2014e6acbe0ce3431ac4ada4c5e876c5cd5dae5f41f838d7c7b5,,0.06723805478585952,,,,0.3831758291349347,0.08254594559503835,true,true,true
Scene07COnPredictiveV5C,formation,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene07COnPredictiveV5C.csv,6c935e85bf77aae79df52078da46d21b14cec2e613c6291f99c9a324830c0ab1,,0.08333932488650445,,,,0.6113274029501765,0.24771433985079008,true,true,true
Scene07COnPredictiveV5C,formation,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene07COnPredictiveV5C.csv,d5c327b45c835608da3975f9401e2ce7fdc5ed9e20ef41772db16a835294c2ce,,0.08333932669384252,,,,0.6113274026131267,0.2477143401201578,true,true,true
