case_id,lift_scale,mass_scale,inertia_scale,pid_rmse_m,ardg_rgpc_rmse_m,ardg_vs_pid_reduction_percent,ardg_rgpc_beats_pid
MC20_01,0.995809775148182,1.005286049584065,0.970253522760161,0.1679995855047548,0.0331857529516051,80.24652688761196,True
MC20_02,0.978634707145616,1.090587613427398,1.036902824588061,0.1751153169181366,0.0228415193678501,86.95629841533044,True
MC20_03,1.017170109704515,0.940402746378527,1.059340442488578,0.1619019202184193,0.0111252100252448,93.12842614205192,True
MC20_04,0.982014097764776,1.037731212220688,1.036757822216443,0.1712563491178409,0.0181206207055878,89.41900793814126,True
MC20_05,1.045897498811791,1.057036134696979,1.023508536407381,0.1680816392815353,0.0365067795026036,78.2803287386702,True
MC20_06,0.903697957699189,0.9054875557706,0.949836124435577,0.1674743803882338,0.0156345753920049,90.66449724682585,True
MC20_07,1.099876083771944,1.063412689564851,0.947035090217913,0.1649793656397537,0.1090296948624292,33.91313244560252,True
MC20_08,0.919301670838682,1.082267861351919,0.92517764079048,0.179186560275233,0.0284562459964921,84.11920740440415,True
MC20_09,0.929783487318464,1.065802758461065,1.052281888404361,0.1771972145875314,0.0254755865849174,85.62303214290479,True
MC20_10,1.051353085466218,0.921158660145964,1.001071893636748,0.1582841583464816,0.0110244085379669,93.03505249474512,True
MC20_11,0.966421248875033,1.011565718626388,0.968889413092035,0.1705728036635411,0.0175546440588503,89.70841559626511,True
MC20_12,0.97304371193683,1.070406853408159,0.974394420130363,0.174168583834352,0.0215253232573548,87.64109876564932,True
MC20_13,0.998899220081323,0.945224406851253,0.905786810445201,0.1634910816864344,0.0120047752101424,92.65722932021032,True
MC20_14,1.069579363822805,1.09646276193566,1.025262950811366,0.1690888809624118,0.0815502723247286,51.770765847780886,True
MC20_15,0.915660261306453,1.097872695883576,1.061026730702904,0.1805649804676126,0.0308452412534175,82.91737347212235,True
MC20_16,0.901581550438133,1.07399035709208,0.974568142917412,0.1800712164531087,0.0299593670097521,83.36248979716663,True
MC20_17,0.951738497192313,1.047252029028881,1.022082544371698,0.1741887770770954,0.0215509784751642,87.62780310144446,True
MC20_18,0.945057984774874,0.999450174645721,0.991104114654558,0.1713107460132421,0.0181785097466197,89.38857592435292,True
MC20_19,1.089855341380157,1.009733080400409,0.98859969453976,0.1620451693341207,0.0111906980911477,93.0940871998019,True
MC20_20,1.059459967827924,0.939137534670619,0.995541328406426,0.1590555533750716,0.0107443607206608,93.24490060694428,True
