controller,n,rmse_median_m,rmse_q1_m,rmse_q3_m,rmse_p95_m,rmse_max_m,rmse_mean_m,rmse_sample_std_m,physical_pass_count,physical_pass_rate,absolute_pass_count,absolute_pass_rate
PID,20,0.16983084231297652,0.16460729465142393,0.17442041203735573,0.18009590465383393,0.18056498046761263,0.1698017141572456,0.006811492490839851,20,1.0,0,0.0
ARDG-RGPC,20,0.02153815086625953,0.014727125346539333,0.03018083557066848,0.08292424345161373,0.10902969486242921,0.028325228203727036,0.02462816180905134,20,1.0,18,0.9
