case_id,controller,lift_scale,mass_scale,inertia_scale,rmse_m,peak_m,p95_m,terminal_mean_m,max_rotation_orthogonality_error,max_rotation_determinant_error,max_body_rate_radps,max_motor_q,physical_pass,absolute_pass,raw_sha256,raw_path
MC20_01,PID,0.995809775148182,1.005286049584065,0.970253522760161,0.16799958550475483,0.866793254265889,0.4579732315930033,3.085674027911687e-09,8.881784197001252e-16,1.1102230246251565e-15,9.253438706501584e-09,229.26345707443875,True,False,F0359280DA0CF455B8FE0FF53DBD4F0B675CBA74EEDDFAE3921A2324B961A18F,06_supplementary_evidence/parameter_random20_raw/PID/MC20_01.csv
MC20_01,ARDG-RGPC,0.995809775148182,1.005286049584065,0.970253522760161,0.03318575295160511,0.08506659602584057,0.039134933152173756,0.031117808017845586,6.661338147750939e-16,8.881784197001252e-16,1.9612426703782038e-08,216.94285105864208,True,True,7383C0F9F5D5753EE6B08B6569C047EFB636379F84D472B0A73D79D7F8B1A409,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_01/raw.csv
MC20_02,PID,0.978634707145616,1.090587613427398,1.036902824588061,0.17511531691813662,0.896531480340472,0.48164054917487625,1.7279730255258475e-09,8.881784197001252e-16,1.1102230246251565e-15,4.3700011064125596e-07,253.51979426010715,True,False,EE44301C024FA66EB5FA03EF44D1D7C9DCBD1340D278ECE385F746165856E662,06_supplementary_evidence/parameter_random20_raw/PID/MC20_02.csv
MC20_02,ARDG-RGPC,0.978634707145616,1.090587613427398,1.036902824588061,0.022841519367850106,0.1412369439922309,0.05364630783885893,5.761051858018348e-05,6.661338147750939e-16,8.881784197001252e-16,1.555965447321885e-08,242.7671185825087,True,True,AAD95B678CAF09A8E7135A12EE3EF8BB7AD6627F2A2253945E511EFA7430482C,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_02/raw.csv
MC20_03,PID,1.017170109704515,0.940402746378527,1.059340442488578,0.16190192021841937,0.8410509246325123,0.437808249337486,2.947083749452674e-09,8.881784197001252e-16,1.1102230246251565e-15,1.7903854981529837e-08,209.66788069570916,True,False,6496F66557505CFAA46A60BBE06BC04943B87897BD4B87B2E1BC17E8AD10F2B7,06_supplementary_evidence/parameter_random20_raw/PID/MC20_03.csv
MC20_03,ARDG-RGPC,1.017170109704515,0.940402746378527,1.059340442488578,0.011125210025244877,0.07384535492310151,0.020778410851166773,3.6252666744238424e-06,6.661338147750939e-16,8.881784197001252e-16,1.8420804211069844e-08,216.9421406482312,True,True,3D73368CFBE9489F60705177E225EAF9AD900993CFC64C2C06D593DB8624ED57,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_03/raw.csv
MC20_04,PID,0.982014097764776,1.037731212220688,1.036757822216443,0.17125634911784093,0.8804657646985805,0.46781494075367563,1.9546081288589162e-09,8.881784197001252e-16,1.1102230246251565e-15,9.92137791929453e-09,240.18116252983555,True,False,D3F77E6AD066B7DFB433753F4D2CDC05FDB563EC3F8E062F14A24DC71666B534,06_supplementary_evidence/parameter_random20_raw/PID/MC20_04.csv
MC20_04,ARDG-RGPC,0.982014097764776,1.037731212220688,1.036757822216443,0.01812062070558784,0.10488204761654779,0.04696291362737548,4.8776648620568975e-06,6.661338147750939e-16,8.881784197001252e-16,1.3545095915498144e-08,227.73286410159454,True,True,581DACC65D867B949E548C2A61202B2BE98E70F04441BDFE1D5BE1024856110D,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_04/raw.csv
MC20_05,PID,1.045897498811791,1.057036134696979,1.023508536407381,0.1680816392815353,0.8671719612590448,0.458667596493203,3.0167372229197582e-09,8.881784197001252e-16,1.1102230246251565e-15,4.721382752979927e-08,229.54483566992243,True,False,472E94F01F3AEA829685456D94D9B9CA5DFA3C657B57EF73BEB0C9C541C596D6,06_supplementary_evidence/parameter_random20_raw/PID/MC20_05.csv
MC20_05,ARDG-RGPC,1.045897498811791,1.057036134696979,1.023508536407381,0.036506779502603635,0.0866533371501629,0.03911555584588378,0.03482496074993491,6.661338147750939e-16,8.881784197001252e-16,1.7978358850174442e-08,216.94300731754572,True,True,7D2AE3731E522C30BED5892B3B073345BCE822EADE7B54C7D64FB7783832F0D7,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_05/raw.csv
MC20_06,PID,0.903697957699189,0.905487555770600,0.949836124435577,0.1674743803882338,0.8646430262134525,0.4557970652979382,1.0399580968810622e-09,8.881784197001252e-16,1.1102230246251565e-15,1.4126037232696122e-08,227.53984275106623,True,False,AA8D4A952E3616FBCA2FA1B2B7F913C64F3904F9293A21A37BB9894D599AA68D,06_supplementary_evidence/parameter_random20_raw/PID/MC20_06.csv
MC20_06,ARDG-RGPC,0.903697957699189,0.905487555770600,0.949836124435577,0.015634575392004947,0.07565723154311502,0.038894201630728986,0.006475599113248354,2.066172446064983e-25,0.0,1.562066654496334e-08,216.94252247759871,True,True,7D1C8B070DBA192F96F6B9EF009CAE800535F77198F61E044C0BBCB002461555,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_06/raw.csv
MC20_07,PID,1.099876083771944,1.063412689564851,0.947035090217913,0.16497936563975377,0.8540841790464635,0.4468249648761864,9.50176264239445e-10,8.268118457131369e-25,0.0,1.3508675712982115e-08,219.42258255648062,True,False,498B750BA1E921CCB7F7B32C98E037B2A1E3C234EFE541366A31EC26CCE6B9AC,06_supplementary_evidence/parameter_random20_raw/PID/MC20_07.csv
