case_id,v8_position_rmse_m,ardg_position_rmse_m,ardg_vs_v8_rmse_reduction_percent,classification_vs_v8
Scene05B_C000,0.014692923901779389,0.014692923890282454,7.824810799306192e-08,equivalent
Scene05B_C001,0.014692924132316945,0.01469292411087978,1.4590127994651425e-07,equivalent
Scene05B_C010,0.7124974142651385,0.03367800223022429,95.27324569100936,improved
Scene05B_C011,0.7124974143937187,0.03367800127358778,95.27324582612763,improved
Scene05B_C100,0.5882090175622896,0.01614272383913691,97.25561435524449,improved
Scene05B_C101,0.5882090174850356,0.01614272315149094,97.25561447178909,improved
Scene05B_C110,0.014692981984193994,0.014692981982671903,1.0359313407093396e-08,equivalent
Scene05B_C111,0.014692982212776306,0.014692982206008572,4.606099945902997e-08,equivalent
Scene05B_LiftMinus10,0.3581966971979845,0.022510918841072893,93.71548676546547,improved
Scene05B_Nominal,0.014692953826605643,0.014692953821354604,3.57384899452029e-08,equivalent
Scene05B_PayloadPlus10,0.3224214672830466,0.021520068222390897,93.32548530228637,improved
