case_id,pid_rmse_m,prior_main_rmse_m,ardg_rmse_m,ardg_vs_pid_reduction_percent,ardg_vs_prior_main_reduction_percent
MC20_01,0.16799958550475483,0.03318575295160511,0.03318575295160511,80.24652688761196,0.0
MC20_02,0.17511531691813662,0.022841519367850106,0.022841519367850106,86.95629841533044,0.0
MC20_03,0.16190192021841937,0.011125210025244877,0.011125210025244877,93.12842614205191,0.0
MC20_04,0.17125634911784093,0.01812062070558784,0.01812062070558784,89.41900793814126,0.0
MC20_05,0.1680816392815353,0.036506779502603635,0.036506779502603635,78.2803287386702,0.0
MC20_06,0.1674743803882338,0.015634575392004947,0.015634575392004947,90.66449724682583,0.0
MC20_07,0.16497936563975377,0.10902969486242921,0.10902969486242921,33.91313244560252,0.0
MC20_08,0.17918656027523305,0.028456245996492113,0.028456245996492113,84.11920740440415,0.0
MC20_09,0.17719721458753143,0.02547558658491743,0.02547558658491743,85.62303214290479,0.0
MC20_10,0.15828415834648168,0.011024408537966936,0.011024408537966936,93.03505249474513,0.0
MC20_11,0.17057280366354116,0.017554644058850332,0.017554644058850332,89.70841559626511,0.0
MC20_12,0.17416858383435205,0.02152532325735483,0.02152532325735483,87.64109876564932,0.0
MC20_13,0.16349108168643445,0.012004775210142487,0.012004775210142487,92.65722932021033,0.0
MC20_14,0.16908888096241187,0.08155027232472868,0.08155027232472868,51.770765847780886,0.0
MC20_15,0.18056498046761263,0.0308452412534175,0.0308452412534175,82.91737347212235,0.0
MC20_16,0.18007121645310875,0.029959367009752137,0.029959367009752137,83.36248979716663,0.0
MC20_17,0.1741887770770954,0.021550978475164222,0.021550978475164222,87.62780310144446,0.0
MC20_18,0.17131074601324214,0.018178509746619796,0.018178509746619796,89.38857592435292,0.0
MC20_19,0.16204516933412075,0.011190698091147706,0.011190698091147706,93.0940871998019,0.0
MC20_20,0.15905555337507168,0.010744360720660892,0.010744360720660892,93.24490060694428,0.0
