case_id,controller,time_s,position_error_m
Scene02,PID,0.0,0.0
Scene02,PID,0.1,0.013318061606826944
Scene02,PID,0.2,0.026636811855449805
Scene02,PID,0.3,0.03995620523031754
Scene02,PID,0.4,0.05327621313688193
Scene02,PID,0.5,0.06659679870595626
Scene02,PID,0.6,0.07991792778563384
Scene02,PID,0.7000000000000001,0.0932395673218431
Scene02,PID,0.8,0.10656168592382301
Scene02,PID,0.9,0.11988425293940105
Scene02,PID,1.0,0.13320723864318876
Scene02,PID,1.1,0.14653061424960392
Scene02,PID,1.2,0.15985435271063084
Scene02,PID,1.3,0.1731784268589093
Scene02,PID,1.4,0.18650281072059857
Scene02,PID,1.5,0.19982747846942023
Scene02,PID,1.6,0.21315240470709892
Scene02,PID,1.7,0.22647756439896666
Scene02,PID,1.8,0.23980293230824729
Scene02,PID,1.9,0.25312848383256786
Scene02,PID,2.0,0.26645419852564883
Scene02,PID,2.1,0.279780068483793
Scene02,PID,2.2,0.29310611659615204
Scene02,PID,2.3000000000000003,0.3064324068847298
Scene02,PID,2.4,0.31975903161027075
Scene02,PID,2.5,0.3330860907061739
Scene02,PID,2.6,0.34641364644416606
Scene02,PID,2.7,0.3597416813556155
Scene02,PID,2.8000000000000003,0.3730700852445668
Scene02,PID,2.9,0.3863986788768344
Scene02,PID,3.0,0.3997272494734615
Scene02,PID,3.1,0.4130555847258101
Scene02,PID,3.2,0.42638349561267286
Scene02,PID,3.3000000000000003,0.4397108317136922
Scene02,PID,3.4,0.45303748843936054
Scene02,PID,3.5,0.46636340637200735
Scene02,PID,3.6,0.4796885455107015
Scene02,PID,3.7,0.49301291522624546
Scene02,PID,3.8,0.506336535415824
Scene02,PID,3.9,0.5196594384001744
Scene02,PID,4.0,0.5329816682433822
Scene02,PID,4.1,0.5463032761534519
Scene02,PID,4.2,0.5596243125880445
Scene02,PID,4.3,0.5729448218172541
Scene02,PID,4.4,0.5862648468649052
Scene02,PID,4.5,0.599584415276624
Scene02,PID,4.6000000000000005,0.6129035470816627
Scene02,PID,4.7,0.626107465619063
Scene02,PID,4.8,0.6364836232425274
Scene02,PID,4.9,0.640258204954774
Scene02,PID,5.0,0.635747004671514
Scene02,PID,5.1000000000000005,0.6228214710512134
Scene02,PID,5.2,0.6022277862790376
Scene02,PID,5.3,0.5751802469184868
Scene02,PID,5.4,0.5430823690081428
Scene02,PID,5.5,0.5073448630133318
Scene02,PID,5.6000000000000005,0.4692907229165085
Scene02,PID,5.7,0.4300974945353291
Scene02,PID,5.8,0.3907678029740816
Scene02,PID,5.9,0.35212590779125874
Scene02,PID,6.0,0.31482519583267327
Scene02,PID,6.1000000000000005,0.2793611886240845
Scene02,PID,6.2,0.24608716590619978
Scene02,PID,6.3,0.21523319352891687
Scene02,PID,6.4,0.18692572498315527
Scene02,PID,6.5,0.16120622419225067
Scene02,PID,6.6000000000000005,0.13804820388566086
Scene02,PID,6.7,0.11737248632662785
Scene02,PID,6.8,0.09906097145589318
Scene02,PID,6.9,0.08296749732672361
Scene02,PID,7.0,0.0689285978783842
Scene02,PID,7.1000000000000005,0.05677517237724688
Scene02,PID,7.2,0.04632909285115798
Scene02,PID,7.3,0.03741485842849565
Scene02,PID,7.4,0.029858740841567834
Scene02,PID,7.5,0.023504780843811492
Scene02,PID,7.6,0.01820403309575213
Scene02,PID,7.7,0.013819608684167385
Scene02,PID,7.8,0.010226652249325605
Scene02,PID,7.9,0.007313414218076348
Scene02,PID,8.0,0.004977363960845013
Scene02,PID,8.1,0.00312856683895096
Scene02,PID,8.2,0.0016869357650158177
Scene02,PID,8.3,0.0005833198996050851
Scene02,PID,8.4,0.00024789577282697146
Scene02,PID,8.5,0.0008478327734882719
Scene02,PID,8.6,0.0012674760997058545
