case_id,controller,time_s,position_error_m
Scene01,PID,0.0,0.0
Scene01,PID,0.05,0.09999020096748032
Scene01,PID,0.1,0.1999793397500836
Scene01,PID,0.1499999999999999,0.29996807175034196
Scene01,PID,0.2,0.39995631985309105
Scene01,PID,0.25,0.4999440049778936
Scene01,PID,0.2999999999999999,0.5999310420321107
Scene01,PID,0.35,0.6999118433786975
Scene01,PID,0.4,0.798938691643202
Scene01,PID,0.45,0.8941708670542731
Scene01,PID,0.5,0.9831682792151645
Scene01,PID,0.55,1.0641512812945075
Scene01,PID,0.5999999999999999,1.1359835506831502
Scene01,PID,0.65,1.1980363009750543
Scene01,PID,0.7,1.250062149731796
Scene01,PID,0.75,1.2921389722514824
Scene01,PID,0.8,1.3245667345137493
Scene01,PID,0.8499999999999999,1.3477895849718093
Scene01,PID,0.9,1.3623578430724272
Scene01,PID,0.95,1.368891821237613
Scene01,PID,1.0,1.3680475712504498
Scene01,PID,1.05,1.3604937912667012
Scene01,PID,1.1,1.3468968482894446
Scene01,PID,1.15,1.3279105971045464
Scene01,PID,1.2,1.304168368232669
Scene01,PID,1.25,1.2762759539687134
Scene01,PID,1.3,1.244807955471686
Scene01,PID,1.35,1.2103041838534332
Scene01,PID,1.4,1.173269163064498
Scene01,PID,1.45,1.134172649899336
Scene01,PID,1.5,1.0934486849013192
Scene01,PID,1.55,1.0514963785634555
Scene01,PID,1.6,1.0086808343858058
Scene01,PID,1.65,0.9653337591328164
Scene01,PID,1.7,0.9217545483840706
Scene01,PID,1.75,0.878212412019928
Scene01,PID,1.8,0.8349467159993265
Scene01,PID,1.85,0.7921699501136912
Scene01,PID,1.9,0.7500680973119134
Scene01,PID,1.95,0.7088031412157991
Scene01,PID,2.0,0.6685140134649425
Scene01,PID,2.05,0.6293184363497133
Scene01,PID,2.1,0.5913144039709768
Scene01,PID,2.15,0.5545815759523709
Scene01,PID,2.2,0.5191830183707196
Scene01,PID,2.25,0.4851662680973332
Scene01,PID,2.3000000000000003,0.45256530979053533
Scene01,PID,2.35,0.4214011453966089
Scene01,PID,2.4,0.39168356586672637
Scene01,PID,2.45,0.36341288783543124
Scene01,PID,2.5,0.336579266164982
Scene01,PID,2.5500000000000003,0.31116657806718706
Scene01,PID,2.6,0.28715170980411653
Scene01,PID,2.65,0.26450351237741554
Scene01,PID,2.7,0.24318879259305515
Scene01,PID,2.75,0.22316990364484202
Scene01,PID,2.8000000000000003,0.20440228448407272
Scene01,PID,2.85,0.18684304416078668
Scene01,PID,2.9,0.17044684951923994
Scene01,PID,2.95,0.1551635639033604
Scene01,PID,3.0,0.14094371073808887
Scene01,PID,3.0500000000000003,0.12773973567455776
Scene01,PID,3.1,0.11550271328270512
Scene01,PID,3.15,0.10417847774443256
Scene01,PID,3.2,0.09372107685071995
Scene01,PID,3.25,0.08408379758761964
Scene01,PID,3.3000000000000003,0.07521740929203347
Scene01,PID,3.35,0.06707418104284013
Scene01,PID,3.4,0.05961191669731125
Scene01,PID,3.45,0.05278909994926284
Scene01,PID,3.5,0.046559208988607104
Scene01,PID,3.5500000000000003,0.04088411240391476
Scene01,PID,3.6,0.03572674586208269
Scene01,PID,3.65,0.03105164131974103
Scene01,PID,3.7,0.026819336909424507
Scene01,PID,3.75,0.022999356589662234
Scene01,PID,3.8,0.019561059064080233
Scene01,PID,3.85,0.016475634732820765
Scene01,PID,3.9,0.01371140950744909
Scene01,PID,3.95,0.011244258056337664
Scene01,PID,4.0,0.009050004827124702
Scene01,PID,4.05,0.00710637752211163
Scene01,PID,4.1,0.0053890342271518685
Scene01,PID,4.15,0.0038788710593493664
Scene01,PID,4.2,0.002557594106583852
Scene01,PID,4.25,0.0014081617543322317
Scene01,PID,4.3,0.00041408057144389236
Scene01,PID,4.3500000000000005,0.0004407255519325464
Scene01,PID,4.4,0.0011692263102158823
Scene01,PID,4.45,0.0017840237132986697
Scene01,PID,4.5,0.002296625575036518
Scene01,PID,4.55,0.002718338830581149
Scene01,PID,4.6000000000000005,0.003059390356897398
Scene01,PID,4.65,0.003328517834424007
Scene01,PID,4.7,0.003534042877122447
Scene01,PID,4.75,0.0036835814923552603
Scene01,PID,4.8,0.003784012210175548
Scene01,PID,4.8500000000000005,0.003841644881124041
Scene01,PID,4.9,0.003862331460132041
Scene01,PID,4.95,0.003851411947911388
Scene01,PID,5.0,0.0038138152312008353
Scene01,PID,5.05,0.0968576222630464
Scene01,PID,5.1000000000000005,0.17088097515044076
Scene01,PID,5.15,0.2268761739288898
Scene01,PID,5.2,0.26654712156050486
Scene01,PID,5.25,0.2916925636794083
Scene01,PID,5.3,0.30424872080889287
Scene01,PID,5.3500000000000005,0.3061468140916723
Scene01,PID,5.4,0.2992655119796144
Scene01,PID,5.45,0.28537950826527236
Scene01,PID,5.5,0.26612043373280336
Scene01,PID,5.55,0.24293440270086464
Scene01,PID,5.6000000000000005,0.21708005734205038
Scene01,PID,5.65,0.189632651217174
Scene01,PID,5.7,0.16148495472637237
Scene01,PID,5.75,0.13335953686640067
Scene01,PID,5.8,0.10582819376412367
Scene01,PID,5.8500000000000005,0.07933245645166842
Scene01,PID,5.9,0.0542020420614886
Scene01,PID,5.95,0.030671757880069705
Scene01,PID,6.0,0.008897246129958347
Scene01,PID,6.05,0.011030518115628496
Scene01,PID,6.1000000000000005,0.029072568109057784
Scene01,PID,6.15,0.04523105620003953
Scene01,PID,6.2,0.059540243412786964
Scene01,PID,6.25,0.07205916495649234
Scene01,PID,6.3,0.08286448328408724
Scene01,PID,6.3500000000000005,0.09204670571893736
Scene01,PID,6.4,0.09970575721339436
Scene01,PID,6.45,0.10594599337869504
Scene01,PID,6.5,0.11087478278633789
Scene01,PID,6.55,0.11459978822843375
Scene01,PID,6.6000000000000005,0.11722762191513603
Scene01,PID,6.65,0.11886227196687749
Scene01,PID,6.7,0.11960381193972758
Scene01,PID,6.75,0.1195487631732135
Scene01,PID,6.8,0.11878874317796395
Scene01,PID,6.8500000000000005,0.11740999637280325
Scene01,PID,6.9,0.11549378708717306
Scene01,PID,6.95,0.11311516165570445
Scene01,PID,7.0,0.11034461795521366
Scene01,PID,7.05,0.10724575958737859
Scene01,PID,7.1000000000000005,0.10387844961685744
Scene01,PID,7.15,0.10029558666739824
Scene01,PID,7.2,0.0965466592165285
Scene01,PID,7.25,0.09267537022626904
Scene01,PID,7.3,0.08872110115497911
Scene01,PID,7.35,0.08471950560281982
Scene01,PID,7.4,0.0807015493168759
Scene01,PID,7.45,0.07669493780611525
Scene01,PID,7.5,0.07272369026623693
Scene01,PID,7.55,0.06880858422201364
Scene01,PID,7.6,0.06496749400283974
Scene01,PID,7.65,0.06121551431291117
Scene01,PID,7.7,0.05756525015011249
Scene01,PID,7.75,0.054026960722671546
Scene01,PID,7.8,0.05060900285270442
Scene01,PID,7.85,0.04731783414220736
Scene01,PID,7.9,0.044157875989945694
Scene01,PID,7.95,0.04113259676094572
Scene01,PID,8.0,0.03824412823979806
Scene01,PID,8.05,0.03549275063039126
Scene01,PID,8.099999999999998,0.03287860389796826
Scene01,PID,8.15,0.030400889262418573
Scene01,PID,8.199999999999998,0.028057488076205672
Scene01,PID,8.25,0.025845533379618146
Scene01,PID,8.3,0.02376249448996859
Scene01,PID,8.349999999999998,0.021805274382195705
Scene01,PID,8.4,0.019969055613504594
Scene01,PID,8.449999999999998,0.01825002355462324
Scene01,PID,8.5,0.016644177339285804
Scene01,PID,8.55,0.015147419173246135
Scene01,PID,8.599999999999998,0.013753586040424537
Scene01,PID,8.65,0.012458717097038274
Scene01,PID,8.700000000000001,0.011258268310472275
Scene01,PID,8.75,0.01014785183126321
Scene01,PID,8.8,0.009121637587213627
Scene01,PID,8.849999999999998,0.008175240132967332
Scene01,PID,8.9,0.00730443758103938
Scene01,PID,8.950000000000001,0.006505055976944618
Scene01,PID,9.0,0.0057725770544028165
Scene01,PID,9.05,0.005101850976108935
Scene01,PID,9.1,0.004489554597336466
Scene01,PID,9.15,0.003931984792000521
Scene01,PID,9.2,0.003425723680052784
Scene01,PID,9.25,0.0029666541766726344
Scene01,PID,9.3,0.0025508251204655616
Scene01,PID,9.35,0.0021756465019286972
Scene01,PID,9.4,0.0018382281192828045
Scene01,PID,9.45,0.0015359383953885714
Scene01,PID,9.5,0.0012657920018721593
Scene01,PID,9.55,0.0010242895501857451
Scene01,PID,9.6,0.0008097339588317754
Scene01,PID,9.65,0.0006199464187002297
Scene01,PID,9.7,0.0004529430066320206
Scene01,PID,9.75,0.0003069391492989263
Scene01,PID,9.8,0.0001792126931583724
Scene01,PID,9.85,6.82549391105107e-05
Scene01,PID,9.9,2.732890484774171e-05
Scene01,PID,9.95,0.00010898043333544431
Scene01,PID,10.0,0.00017800806571168968
Scene01,PID,10.05,0.07400935900961869
Scene01,PID,10.1,0.12427120372607625
Scene01,PID,10.15,0.15604325736878621
Scene01,PID,10.2,0.17404603505230298
Scene01,PID,10.25,0.18176304629114526
Scene01,PID,10.3,0.18179129114107972
Scene01,PID,10.35,0.1761256602381156
Scene01,PID,10.4,0.16631513347516425
Scene01,PID,10.45,0.15357676240933316
Scene01,PID,10.5,0.13886945001365447
Scene01,PID,10.55,0.12295173103835921
Scene01,PID,10.6,0.1064228790149766
Scene01,PID,10.65,0.08975355829363174
Scene01,PID,10.7,0.07331026161977583
Scene01,PID,10.75,0.057374504727235376
Scene01,PID,10.8,0.04215799385288577
Scene01,PID,10.85,0.02781511900664846
Scene01,PID,10.9,0.014453072323560079
Scene01,PID,10.95,0.002140625754057268
Scene01,PID,11.0,0.00908372210876962
Scene01,PID,11.05,0.019208372344186486
Scene01,PID,11.1,0.02824272652215143
Scene01,PID,11.15,0.03621167537919945
Scene01,PID,11.2,0.0431527239914935
Scene01,PID,11.25,0.049112905522889605
Scene01,PID,11.3,0.05414593225878228
Scene01,PID,11.35,0.05830883379011986
Scene01,PID,11.4,0.06166284038655867
Scene01,PID,11.45,0.0642700683508064
Scene01,PID,11.5,0.06619339274049985
Scene01,PID,11.55,0.06749532704320416
Scene01,PID,11.6,0.06823668388018156
Scene01,PID,11.65,0.06847660735419936
Scene01,PID,11.7,0.06827079228105859
Scene01,PID,11.75,0.06767332510134239
Scene01,PID,11.8,0.06673336515713046
Scene01,PID,11.85,0.06549774295341138
Scene01,PID,11.9,0.06401025776017555
Scene01,PID,11.95,0.06230977177267505
Scene01,PID,12.0,0.06043471252769628
Scene01,PID,12.05,0.058417938622570276
Scene01,PID,12.1,0.05628995876589116
Scene01,PID,12.15,0.0540789035111402
Scene01,PID,12.2,0.05180908180717836
Scene01,PID,12.25,0.04950285177483593
Scene01,PID,12.3,0.04718017558307608
Scene01,PID,12.35,0.044858029363597396
Scene01,PID,12.4,0.042551574717627716
Scene01,PID,12.45,0.04027393563880466
Scene01,PID,12.5,0.03803605628922746
Scene01,PID,12.55,0.035847409178428435
Scene01,PID,12.6,0.033716060759912736
