time_s,reference_correction_max_m,reference_correction_rms_m,pp_cbf_active,hocbf_residual,projection_correction_mps2,infeasible,output_hold,minimum_pairwise_distance_m,project_evaluation_distance_m
0.0,0.0,0.0,0.0,3.7853250000000003,0.0,0.0,0.0,1.2806248474865698,0.6
0.01,0.003,0.0024494897427831783,0.0,3.7853250000000016,0.0,0.0,0.0,1.28062484748657,0.6
0.02,0.006,0.004898979485566357,0.0,3.785325000000002,0.0,0.0,0.0,1.2806248474865702,0.6
0.03,0.009,0.0073484692283495336,0.0,3.785545088287633,0.0,0.0,0.0,1.2806248475085016,0.6
0.04,0.012,0.009797958971132713,0.0,3.7868247046586743,0.0,0.0,0.0,1.280624855615754,0.6
0.05,0.015,0.01224744871391589,0.0,3.7885360797545746,0.0,0.0,0.0,1.2806249173030602,0.6
0.06,0.0179983802995169,0.01469561597679249,0.0,3.7906629436787744,0.0,0.0,0.0,1.2806251164583855,0.6
0.07,0.02099621533606668,0.01714333803432073,0.0,3.7932228225056344,0.0,0.0,0.0,1.2806255675740554,0.6
0.08,0.02395767239726047,0.01956135759934973,0.0,3.796011965860188,0.0,0.0,0.0,1.2806264127727596,0.6
0.09,0.026663512306714772,0.021770666633956957,0.0,3.799009760918627,0.0,0.0,0.0,1.2806278186281748,0.6
0.1,0.029193735726411554,0.023836585405122637,0.0,3.802219278686932,0.0,0.0,0.0,1.2806299670181636,0.6
0.11,0.03159347637983481,0.025795965443755994,0.0,3.805403032460875,0.0,0.0,0.0,1.2806330285681629,0.6
0.12,0.033878531883613304,0.027661705449821217,0.0,3.8085460742747665,0.0,0.0,0.0,1.2806371574141637,0.6
0.13,0.0360553823196518,0.02943909638803768,0.0,3.8116462959074027,0.0,0.0,0.0,1.2806425050264456,0.6
0.14,0.038128154582065,0.03113150785333988,0.0,3.8146814419007358,0.0,0.0,0.0,1.280649214030782,0.6
0.15,0.040100400124750524,0.03274183959569256,0.0,3.8176238698109253,0.0,0.0,0.0,1.2806574139636013,0.6
0.16,0.04197548264638223,0.03427283806356218,0.0,3.820448962782922,0.0,0.0,0.0,1.2806672190772925,0.6
0.17,0.04375665437222248,0.03572715868775589,0.0,3.823136800635425,0.0,0.0,0.0,1.2806787271149327,0.6
0.18,0.04544707192829811,0.03710737884263184,0.0,3.8256716567551363,0.0,0.0,0.0,1.2806920186113546,0.6
0.19,0.04704980122631276,0.0384160018346135,0.0,3.8280413689678463,0.0,0.0,0.0,1.2807071565735157,0.6
0.2,0.0485678202379945,0.039655459167434924,0.0,3.830236850268328,0.0,0.0,0.0,1.2807241864754146,0.6
0.21,0.05000402131477737,0.04082811243615286,0.0,3.8322517078501837,0.0,0.0,0.0,1.280743136519482,0.6
0.22,0.05136121339756938,0.04193625513141472,0.0,3.8340819150287184,0.0,0.0,0.0,1.2807640181205526,0.6
0.23,0.05264212415863886,0.042982114388301476,0.0,3.835725508478223,0.0,0.0,0.0,1.2807868265719142,0.6
0.24,0.05384940211472129,0.043967852711672195,0.0,3.837182337284835,0.0,0.0,0.0,1.2808115418563037,0.6
0.25,0.05498561868550114,0.044895569656907365,0.0,3.838453785167267,0.0,0.0,0.0,1.2808381295705857,0.6
0.26,0.05605327020779271,0.045767303474480714,0.0,3.8395425835511157,0.0,0.0,0.0,1.2808665419341985,0.6
0.27,0.05705477990940313,0.04658503272161157,0.0,3.840452601816104,0.0,0.0,0.0,1.2808967188572762,0.6
0.28,0.057992499829333494,0.04735067783010253,0.0,3.8411886629640706,0.0,0.0,0.0,1.2809285890481763,0.6
0.29,0.0588687127100742,0.04806610265139215,0.0,3.8417563920230284,0.0,0.0,0.0,1.2809620711393308,0.6
0.3,0.05968563380824346,0.04873311593493508,0.0,3.842162063808012,0.0,0.0,0.0,1.2809970748189925,0.6
0.31,0.060445412645275094,0.04935347275763265,0.0,3.842412485528869,0.0,0.0,0.0,1.2810335019525998,0.6
0.32,0.06115013495409179,0.049928876113284976,0.0,3.8425148678306367,0.0,0.0,0.0,1.2810712476843475,0.6
0.33,0.06180182415777063,0.05046097811991626,0.0,3.8424767276264107,0.0,0.0,0.0,1.2811102015093652,0.6
0.34,0.062402443072579535,0.05095138141029825,0.0,3.842305803021154,0.0,0.0,0.0,1.2811502483075996,0.6
0.35000000000000003,0.06295389559863318,0.05140164051236502,0.0,3.8420099627198914,0.0,0.0,0.0,1.2811912693373195,0.6
0.36,0.06345802827283316,0.05181326311718325,0.0,3.841597148933455,0.0,0.0,0.0,1.2812331431748196,0.6
0.37,0.06391663181141533,0.05218771133843694,0.0,3.841075306758935,0.0,0.0,0.0,1.2812757466102072,0.6
0.38,0.0643314426053471,0.05252640293341415,0.0,3.840452327782048,0.0,0.0,0.0,1.2813189554808821,0.6
0.39,0.06470414417154063,0.05283071248791758,0.0,3.8397360105019493,0.0,0.0,0.0,1.281362645454712,0.6
0.4,0.06503636869768428,0.053101972677614205,0.0,3.8389340184940015,0.0,0.0,0.0,1.2814066927536483,0.6
0.41000000000000003,0.06532969822005855,0.05334147522971795,0.0,3.8380538441461813,0.0,0.0,0.0,1.2814509748206866,0.6
0.42,0.06558566623991842,0.053550472242760376,0.0,3.8371027829253737,0.0,0.0,0.0,1.28149537092963,0.6
0.43,0.06580575881466634,0.05373017707752964,0.0,3.836087908193194,0.0,0.0,0.0,1.2815397627387577,0.6
0.44,0.06599141598709361,0.05388176552404121,0.0,3.8350160516580445,0.0,0.0,0.0,1.281584034789187,0.6
0.45,0.06614403301336116,0.05400637680418002,0.0,3.8338937883945983,0.0,0.0,0.0,1.2816280749497029,0.6
0.46,0.06626496158853498,0.05410511457234591,0.0,3.832727424723177,0.0,0.0,0.0,1.281671774809866,0.6
0.47000000000000003,0.06635551104531279,0.05417904789420985,0.0,3.8315229890846174,0.0,0.0,0.0,1.2817150300232112,0.6
0.48,0.06641694951996122,0.0542292121986977,0.0,3.8302862257868138,0.0,0.0,0.0,1.281757740602811,0.6
0.49,0.06645050508977056,0.05425661020671812,0.0,3.8290225917588128,0.0,0.0,0.0,1.2817998111714601,0.6
0.5,0.0664573668822444,0.054262212836812054,0.0,3.827737254565783,0.0,0.0,0.0,1.2818411511689076,0.6
0.51,0.06643868615523942,0.05424696008708323,0.0,3.826435092856005,0.0,0.0,0.0,1.281881675018611,0.6
0.52,0.06639557735020594,0.05421176189516552,0.0,3.8251206981572476,0.0,0.0,0.0,1.2819213022552352,0.6
0.53,0.06632911911718373,0.054157498975128386,0.0,3.823798378601378,0.0,0.0,0.0,1.2819599576215983,0.6
0.54,0.06624035531587096,0.05408502363484636,0.0,3.822472163362969,0.0,0.0,0.0,1.2819975711264286,0.6
0.55,0.06613029598980745,0.0539951605714163,0.0,3.821145808417318,0.0,0.0,0.0,1.282034078070214,0.6
0.56,0.06599991831564786,0.05388870764623568,0.0,3.819822803234166,0.0,0.0,0.0,1.2820694190555457,0.6
0.5700000000000001,0.06585016751310083,0.05376643662796485,0.0,3.8185063775675783,0.0,0.0,0.0,1.2821035399527296,0.6
0.58,0.06568195779031277,0.053629093964429594,0.0,3.817199510856718,0.0,0.0,0.0,1.282136391862108,0.6
0.59,0.06549617319025189,0.05347740147369086,0.0,3.815904938816022,0.0,0.0,0.0,1.282167931034788,0.6
0.6,0.06529366841297306,0.05331205701542117,0.0,3.814625163450321,0.0,0.0,0.0,1.282198118794602,0.6
0.61,0.0650752697304594,0.05313373523786965,0.0,3.8133624620598416,0.0,0.0,0.0,1.2822269214225206,0.6
0.62,0.06484177570736933,0.052943088166349545,0.0,3.812118896613236,0.0,0.0,0.0,1.2822543100462842,0.6
0.63,0.06459395807969552,0.052740745920660255,0.0,3.810896322763355,0.0,0.0,0.0,1.2822802604961638,0.6
0.64,0.06433256244123242,0.05252731727558572,0.0,3.809696400402314,0.0,0.0,0.0,1.2823047531696903,0.6
0.65,0.06405830907270763,0.05230339033787731,0.0,3.8085206018431825,0.0,0.0,0.0,1.2823277728659397,0.6
0.66,0.06377189359748353,0.05206953308163204,0.0,3.8073702231286055,0.0,0.0,0.0,1.2823493086317834,0.6
0.67,0.06347398776367172,0.05182629398688628,0.0,3.806246391356031,0.0,0.0,0.0,1.2823693535809741,0.6
0.68,0.06316524007024038,0.05157420255083027,0.0,3.805150076418113,0.0,0.0,0.0,1.2823879047276738,0.6
0.6900000000000001,0.06284627650447797,0.05131376988994474,0.0,3.8040820974779845,0.0,0.0,0.0,1.2824049627958392,0.6
0.7000000000000001,0.06251770113983621,0.05104548922813766,0.0,3.8030431348639713,0.0,0.0,0.0,1.2824205320450452,0.6
0.71,0.06218009683099293,0.05076983646426066,0.0,3.802033735764398,0.0,0.0,0.0,1.2824346200748442,0.6
0.72,0.06183402578467506,0.05048727063818404,0.0,3.8010543254265245,0.0,0.0,0.0,1.2824472376460625,0.6
0.73,0.06148003021449555,0.05019823446546891,0.0,3.800105213945645,0.0,0.0,0.0,1.2824583984900644,0.6
0.74,0.06111863288594907,0.0499031547823543,0.0,3.799186603730051,0.0,0.0,0.0,1.2824681191197713,0.6
0.75,0.0607503377330475,0.04960244304923791,0.0,3.7982985993899896,0.0,0.0,0.0,1.2824764186480062,0.6
0.76,0.06037563037851873,0.04929649577541669,0.0,3.7974412127488675,0.0,0.0,0.0,1.282483318603392,0.6
0.77,0.059994978710381563,0.04898569498985826,0.0,3.796614371788216,0.0,0.0,0.0,1.2824888427499783,0.6
0.78,0.059608833398980515,0.048670408663358034,0.0,3.795817926284164,0.0,0.0,0.0,1.2824930169102464,0.6
0.79,0.059217628403646555,0.048350991122226,0.0,3.7950516549902003,0.0,0.0,0.0,1.282495868791749,0.6
0.8,0.05882178148709316,0.04802778346828938,0.0,3.7943152712896087,0.0,0.0,0.0,1.282497427817082,0.6
0.81,0.05842169470008077,0.047701113974619395,0.0,3.7936084302614628,0.0,0.0,0.0,1.2824977249632477,0.6
0.8200000000000001,0.05801775485684285,0.04737129847371516,0.0,3.7929307338470646,0.0,0.0,0.0,1.2824967925948654,0.6
