axis,time_s,reference_m,response_m,raw_sha256
X,8.45,0.0,2.3658791926529e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.46,0.0,2.35893957757815e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.47,0.0,2.35169118944363e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.48,0.0,2.34413739206091e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.49,0.0,2.33628161533192e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.5,0.0,2.32812735524901e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.51,0.0,2.31967817389488e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.52,0.0,2.31093769944263e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.53,0.0,2.30190962615577e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.54,0.0,2.29259771438816e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.55,0.0,2.28300579058408e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.56,0.0,2.27313774727817e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.57,0.0,2.26299754309546e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.58,0.0,2.25258920275139e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.59,0.0,2.24207980872362e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.6,0.0,2.23132848615957e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.61,0.0,2.22032909580259e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.62,0.0,2.20908501680155e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.63,0.0,2.19759962830531e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.64,0.0,2.18587630946274e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.65,0.0,2.17391843942271e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.66,0.0,2.1617293973341e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.67,0.0,2.14931256234576e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.68,0.0,2.13667131360657e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.69,0.0,2.12380903026539e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.7,0.0,2.11072909147109e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.71,0.0,2.09743487637255e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.72,0.0,2.08392976411863e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.73,0.0,2.07021713385819e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.74,0.0,2.05630036474011e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.75,0.0,2.04218283591326e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.76,0.0,2.0278679265265e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.77,0.0,2.0133590157287e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.78,0.0,1.99865948266874e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.79,0.0,1.98377270649546e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.8,0.0,1.96870206635776e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
